,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,16.952.092,14.174.359,12.083.092,,,
1,1.01,Ativo Circulante,5.300.829,5.554.987,4.688.050,,,
2,1.01.01,Disponibilidades,43.291,30.979,37.685,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,2.377.221,1.438.494,421.876,,,
4,1.01.02.01,Aplicações no Mercado Aberto,2.201.814,1.313.232,309.995,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,207.681,157.536,148.148,,,
6,1.01.02.03,(Provisões para Perdas),-32.274,-32.274,-36.267,,,
7,1.01.03,Títulos e Valores Mobiliários,519.520,1.042.155,1.472.960,,,
8,1.01.03.01,Carteira Própria,414.160,800.704,1.372.793,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,105.360,220.109,100.167,,,
10,1.01.03.03,Vinculados à Prestação de Garantias,0,21.342,0,,,
11,1.01.04,Relações Interfinanceiras,247.391,391.799,250.509,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,1.839,984,1.381,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Bacen,245.460,390.727,249.105,,,
14,1.01.04.03,Créditos Vinculados - SFH,92,88,23,,,
15,1.01.05,Relações Interdependências,0,0,1.154,,,
16,1.01.06,Operações de Crédito,1.722.083,2.223.090,2.207.648,,,
17,1.01.06.01,Operações de Crédito - Setor Público,254.455,352.415,152.155,,,
18,1.01.06.02,Operações de Crédito - Setor Privado,1.609.437,2.028.215,2.194.719,,,
19,1.01.06.03,(Provisões para operações de Crédito),-141.809,-157.540,-139.226,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,390.063,427.446,295.284,,,
22,1.01.08.01,Carteira de Cambio,53.563,52.789,48.394,,,
23,1.01.08.02,Rendas a Receber,71.665,133.464,59.783,,,
24,1.01.08.03,Devedores por Compra de Valores e Bens,79,219,230,,,
25,1.01.08.04,Devedores por Depósitos em Garantia,44.167,39.707,46.824,,,
26,1.01.08.05,Títulos e Créditos a Receber,1.319,325,1.244,,,
27,1.01.08.06,Pagamentos a Ressarcir,15.084,14.406,11.576,,,
28,1.01.08.07,Créditos Tributários - IR/CS,164.987,169.117,106.512,,,
29,1.01.08.08,Impostos e Contribuições a Compensar,70,32,14,,,
30,1.01.08.09,Diversos,41.040,18.542,20.855,,,
31,1.01.08.10,(Provisão para Outros Créditos),-1.911,-1.204,-225,,,
32,1.01.08.11,Negociação e Intermediação de Valores,0,49,77,,,
33,1.01.09,Outros Valores e Bens,1.260,1.024,934,,,
34,1.01.09.01,Outros Valores e Bens,1.922,1.677,1.587,,,
35,1.01.09.02,(Provisão para Desvalorização),-669,-670,-670,,,
36,1.01.09.03,Despesas Antecipadas,7,17,17,,,
37,1.02,Ativo Realizável a Longo Prazo,11.310.609,8.307.632,7.120.436,,,
38,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
39,1.02.02,Títulos e Valores Mobiliários,9.025.679,6.000.202,4.578.585,,,
40,1.02.02.01,Carteira Própria,8.996.679,5.996.312,4.556.683,,,
41,1.02.02.02,Vinculados a Compromissos de Recompra,,,,,,
42,1.02.02.03,Vinculados ao Banco Central,,,,,,
43,1.02.02.04,Vinculados a Prestação de Garantias,29.000,3.890,21.902,,,
44,1.02.03,Relações Interfinanceiras,12.569,12.569,12.569,,,
45,1.02.03.01,Créditos Vinculados - SFH,12.569,12.569,12.569,,,
46,1.02.04,Relações Interdependências,,,,,,
47,1.02.05,Operações de Crédito,1.178.582,1.288.427,1.549.036,,,
48,1.02.05.01,Operações de Crédito - Setor Público,68.235,31.157,248.711,,,
49,1.02.05.02,Operações de Crédito - Setor Privado,1.183.094,1.300.729,1.339.234,,,
50,1.02.05.03,(Provisão para Operações de Crédito),-72.747,-43.459,-38.909,,,
51,1.02.06,Operações de Arrendamento Mercantil,,,,,,
52,1.02.07,Outros Créditos,1.093.779,1.006.434,980.246,,,
53,1.02.07.01,Rendas a Receber,,,,,,
54,1.02.07.02,Pagamentos a Ressarcir,,,,,,
55,1.02.07.03,Créditos Tributários de IR/CS,1.072.074,984.658,958.284,,,
56,1.02.07.04,Devedores por Compra de Valores e Bens,0,73,257,,,
57,1.02.07.05,Devedores por Depósito em Garantia,,,,,,
58,1.02.07.06,Titulos e Créditos a Receber,21.705,21.705,21.705,,,
59,1.02.07.07,Diversos,,,,,,
60,1.02.07.08,(Provisão para Outros Créditos),0,-2,0,,,
61,1.02.08,Outros Valores e Bens,,,,,,
62,1.02.08.01,Despesas Antecipadas,,,,,,
63,1.03,Ativo Permanente,340.654,311.740,274.606,,,
64,1.03.01,Investimentos,267,267,267,,,
65,1.03.01.01,Dependências no Exterior,,,,,,
66,1.03.01.02,Participações em Controladas,,,,,,
67,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
68,1.03.01.04,Outros Investimentos,1.625,1.625,1.625,,,
69,1.03.01.05,Provisão para Perdas,-1.358,-1.358,-1.358,,,
70,1.03.02,Imobilizado de Uso,165.676,166.017,158.600,,,
71,1.03.02.01,Imóveis de Uso,62.466,61.326,56.685,,,
72,1.03.02.02,Outras Imobilizações de Uso,198.924,199.372,193.532,,,
73,1.03.02.03,Reavaliações de Imóveis de Uso,48.029,48.029,48.029,,,
74,1.03.02.04,(Depreciações Acumuladas),-143.743,-142.710,-139.646,,,
75,1.03.03,Imobilizado de Arrendamento,,,,,,
76,1.03.04,Intangível,174.711,145.456,115.739,,,
77,1.03.04.01,Outros Ativos Intangíveis,299.875,253.759,208.132,,,
78,1.03.04.02,Amortizações Acumuladas,-125.164,-108.303,-92.393,,,
79,1.03.05,Diferido,,,,,,
80,1.03.05.01,Gastos de Organização e Expansão,,,,,,
81,1.03.05.02,Amortizações Acumuladas,,,,,,
82,2,Passivo Total,16.952.092,14.174.359,12.083.092,,,
83,2.01,Passivo Circulante,10.009.430,7.696.583,6.201.464,,,
84,2.01.01,Depósitos,3.214.441,2.528.151,2.827.047,,,
85,2.01.01.01,Depósitos à Vista,704.225,663.835,650.074,,,
86,2.01.01.02,Depósitos de Poupança,518.266,501.247,548.738,,,
87,2.01.01.03,Depósitos Interfinanceiros,22.631,12.531,15.495,,,
88,2.01.01.04,Depósitos à Prazo,1.969.319,1.350.538,1.612.740,,,
89,2.01.01.05,Outros Depósitos,,,,,,
90,2.01.02,Captações no Mercado Aberto,105.001,220.010,100.045,,,
91,2.01.02.01,Carteira Própria,105.001,220.010,100.045,,,
92,2.01.03,Recursos de Aceites e Emissão de Títulos,440.253,377.676,271.989,,,
93,2.01.03.01,Obrigações por Emissão de Letras de Crédito do Agronegócio,440.253,377.676,271.989,,,
94,2.01.04,Relações Interfinanceiras,754,39,31,,,
95,2.01.04.01,Recebimentos e Pagamentos a Liquidar,754,39,31,,,
96,2.01.05,Relações Interdependências,2.882,5.187,3.240,,,
97,2.01.05.01,Recursos em transito de Terceiros,1.248,3.819,3.229,,,
98,2.01.05.02,Transferências Internas de Recursos,1.634,1.368,11,,,
99,2.01.06,Obrigações por Empréstimos,53.974,51.332,46.939,,,
100,2.01.06.01,Empréstimos no País - Inst. Oficiais,,,,,,
101,2.01.06.02,Empréstimos no Exterior,53.974,51.332,46.939,,,
102,2.01.07,Obrigações por Repasse do País,118.784,115.825,125.476,,,
103,2.01.07.01,Tesouro Nacional,27.477,28.705,34.320,,,
104,2.01.07.02,BNDES,52.128,46.612,48.722,,,
105,2.01.07.03,CEF,,,,,,
106,2.01.07.04,Finame,39.066,40.365,42.270,,,
107,2.01.07.05,Finep,113,143,164,,,
108,2.01.08,Obrigações por Repasse do Exterior,,,,,,
109,2.01.09,Outras Obrigações,6.073.341,4.398.363,2.826.697,,,
110,2.01.09.01,Cobrança e Arrec.Trib. e Assemelhados,1.946,2.956,2.023,,,
111,2.01.09.02,Carteira de Cambio,143,82,1.620,,,
112,2.01.09.03,Sociais e Estatutárias,23.913,24.413,89.201,,,
113,2.01.09.04,Fiscais e Previdenciárias,30.496,230.126,174.851,,,
114,2.01.09.05,Neg. Intermedição de Valores,0,52,48,,,
115,2.01.09.06,Fundos Financeiros e Desenvolvimento,5.108.783,3.265.636,1.681.488,,,
116,2.01.09.07,Provisão para Pagamentos a Efetuar,80.658,109.426,81.406,,,
117,2.01.09.08,Provisão para Passivos Contingentes,164.947,513.463,514.740,,,
118,2.01.09.09,Obrigações por Convênios Oficiais,4.012,99,32.219,,,
119,2.01.09.10,Obrigações por Aquisição de Bens e Direitos,70.075,59.081,50.835,,,
120,2.01.09.11,Cheques Administrativos,1.467,1.518,26.120,,,
121,2.01.09.12,Credores Diversos,57.997,58.126,35.752,,,
122,2.01.09.13,Obrigação prestação serv.e pagamentos,11,12,11,,,
123,2.01.09.14,Passivos Atuariais,76.734,88.950,50.824,,,
124,2.01.09.15,Instrumentos de Dívida Elegíveis a Capital,34.215,44.423,85.559,,,
125,2.01.09.16,Provisão para Garantias Financeiras Prestadas,417.944,0,0,,,
126,2.02,Passivo Exigível a Longo Prazo,5.057.353,4.518.087,3.957.470,,,
127,2.02.01,Depósitos,344.387,437.786,250.667,,,
128,2.02.01.01,Depósitos a Prazo,344.387,437.786,248.682,,,
129,2.02.01.02,Depósitos Interfinanceiros,0,0,1.985,,,
130,2.02.02,Captações no Mercado Aberto,,,,,,
131,2.02.03,Recursos de Aceites e Emissão de Títulos,,,,,,
132,2.02.04,Relações Interfinanceiras,,,,,,
