,Conta,Descrição,31/12/2014,31/12/2013,31/12/2012,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,627.901.762,514.175.012,474.933.998,,,
1,1.01,Ativo Circulante,370.486.098,273.933.942,250.715.643,,,
2,1.01.01,Disponibilidades,4.697.744,5.290.047,4.653.214,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,60.185.099,65.498.311,51.106.876,,,
4,1.01.02.01,Aplicações no Mercado Aberto,24.704.208,32.456.665,21.353.662,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,24.025.157,21.557.117,20.458.741,,,
6,1.01.02.03,Aplicações em Moedas Estrangeiras,11.455.734,11.484.529,9.294.473,,,
7,1.01.03,Títulos e Valores Mobiliários,63.656.319,33.244.090,37.326.162,,,
8,1.01.03.01,Carteira Própria,9.074.933,11.713.343,14.145.665,,,
9,1.01.03.02,Vinculados a Compromisso de Recompra,50.834.783,18.103.822,18.957.131,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,2.532.340,1.988.686,1.041.124,,,
11,1.01.03.04,Tít. Obj. de Oper. Comprom. Livre Mov.,,,,,,
12,1.01.03.05,Vinculados ao Banco Central,492.584,992.127,1.118.510,,,
13,1.01.03.06,Vinculados à Prestação de Garantias,721.550,446.112,2.063.732,,,
14,1.01.03.07,Moedas de Privatização,129,0,0,,,
15,1.01.04,Relações Interfinanceiras,29.944.240,35.434.037,34.121.412,,,
16,1.01.04.01,Pagamentos e Recebimentos a Liquidar,2.120,2.783,1.979,,,
17,1.01.04.02,Depósitos no Banco Central,29.904.904,35.387.166,34.082.514,,,
18,1.01.04.03,SFH - Sistema Financeiro da Habitação,962,467,1.159,,,
19,1.01.04.04,Repasses Interfinanceiros,,,,,,
20,1.01.04.05,Correspondentes,36.254,43.621,35.760,,,
21,1.01.05,Relações Interdependências,0,809,1.509,,,
22,1.01.05.01,Recursos em Trânsito de Terceiros,,,,,,
23,1.01.05.02,Transferências Internas de Recursos,0,809,1.509,,,
24,1.01.06,Operações de Crédito,81.058.136,52.721.727,54.349.968,,,
25,1.01.06.01,Setor Público,72.473,39.581,65.928,,,
