,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,18.939.959,16.952.092,14.174.359,,,
1,1.01,Ativo Circulante,5.328.669,5.300.829,5.554.987,,,
2,1.01.01,Disponibilidades,49.231,43.291,30.979,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,2.285.860,2.377.221,1.438.494,,,
4,1.01.02.01,Aplicações no Mercado Aberto,2.163.571,2.201.814,1.313.232,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,154.563,207.681,157.536,,,
6,1.01.02.03,(Provisões para Perdas),-32.274,-32.274,-32.274,,,
7,1.01.03,Títulos e Valores Mobiliários,1.228.121,519.520,1.042.155,,,
8,1.01.03.01,Carteira Própria,1.123.912,414.160,800.704,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,100.257,105.360,220.109,,,
10,1.01.03.03,Vinculados à Prestação de Garantias,3.952,0,21.342,,,
11,1.01.04,Relações Interfinanceiras,232.692,247.391,391.799,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,995,1.839,984,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Bacen,231.673,245.460,390.727,,,
14,1.01.04.03,Créditos Vinculados - SFH,24,92,88,,,
15,1.01.05,Relações Interdependências,,,,,,
16,1.01.06,Operações de Crédito,1.126.356,1.722.083,2.223.090,,,
17,1.01.06.01,Operações de Crédito - Setor Público,65.619,254.455,352.415,,,
18,1.01.06.02,Operações de Crédito - Setor Privado,1.204.279,1.609.437,2.028.215,,,
19,1.01.06.03,(Provisões para operações de Crédito),-143.542,-141.809,-157.540,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,405.389,390.063,427.446,,,
22,1.01.08.01,Carteira de Cambio,51.643,53.563,52.789,,,
23,1.01.08.02,Rendas a Receber,78.584,71.665,133.464,,,
24,1.01.08.03,Devedores por Compra de Valores e Bens,0,79,219,,,
25,1.01.08.04,Devedores por Depósitos em Garantia,49.470,44.167,39.707,,,
26,1.01.08.05,Títulos e Créditos a Receber,452,1.319,325,,,
27,1.01.08.06,Pagamentos a Ressarcir,14.848,15.084,14.406,,,
28,1.01.08.07,Créditos Tributários - IR/CS,188.236,164.987,169.117,,,
29,1.01.08.08,Impostos e Contribuições a Compensar,238,70,32,,,
30,1.01.08.09,Diversos,22.462,41.040,18.542,,,
31,1.01.08.10,(Provisão para Outros Créditos),-544,-1.911,-1.204,,,
32,1.01.08.11,Negociação e Intermediação de Valores,0,0,49,,,
33,1.01.09,Outros Valores e Bens,1.020,1.260,1.024,,,
34,1.01.09.01,Outros Valores e Bens,1.682,1.922,1.677,,,
35,1.01.09.02,(Provisão para Desvalorização),-669,-669,-670,,,
36,1.01.09.03,Despesas Antecipadas,7,7,17,,,
37,1.02,Ativo Realizável a Longo Prazo,13.264.498,11.310.609,8.307.632,,,
38,1.02.01,Aplicações Interfinanceiras de Liquidez,51.692,0,0,,,
39,1.02.01.01,Aplicações em Depósitos Interfinanceiros,51.692,0,0,,,
40,1.02.02,Títulos e Valores Mobiliários,10.601.972,9.025.679,6.000.202,,,
41,1.02.02.01,Carteira Própria,10.574.722,8.996.679,5.996.312,,,
42,1.02.02.02,Vinculados a Compromissos de Recompra,,,,,,
43,1.02.02.03,Vinculados ao Banco Central,,,,,,
44,1.02.02.04,Vinculados a Prestação de Garantias,27.250,29.000,3.890,,,
45,1.02.03,Relações Interfinanceiras,12.569,12.569,12.569,,,
46,1.02.03.01,Créditos Vinculados - SFH,12.569,12.569,12.569,,,
47,1.02.04,Relações Interdependências,,,,,,
48,1.02.05,Operações de Crédito,1.566.641,1.178.582,1.288.427,,,
49,1.02.05.01,Operações de Crédito - Setor Público,1.239,68.235,31.157,,,
50,1.02.05.02,Operações de Crédito - Setor Privado,1.661.277,1.183.094,1.300.729,,,
51,1.02.05.03,(Provisão para Operações de Crédito),-95.875,-72.747,-43.459,,,
52,1.02.06,Operações de Arrendamento Mercantil,,,,,,
53,1.02.07,Outros Créditos,1.031.624,1.093.779,1.006.434,,,
54,1.02.07.01,Rendas a Receber,,,,,,
55,1.02.07.02,Pagamentos a Ressarcir,,,,,,
56,1.02.07.03,Créditos Tributários de IR/CS,1.031.624,1.072.074,984.658,,,
57,1.02.07.04,Devedores por Compra de Valores e Bens,0,0,73,,,
58,1.02.07.05,Devedores por Depósito em Garantia,,,,,,
59,1.02.07.06,Titulos e Créditos a Receber,0,21.705,21.705,,,
60,1.02.07.07,Diversos,,,,,,
61,1.02.07.08,(Provisão para Outros Créditos),0,0,-2,,,
62,1.02.08,Outros Valores e Bens,,,,,,
63,1.02.08.01,Despesas Antecipadas,,,,,,
64,1.03,Ativo Permanente,346.792,340.654,311.740,,,
65,1.03.01,Investimentos,267,267,267,,,
66,1.03.01.01,Dependências no Exterior,,,,,,
67,1.03.01.02,Participações em Controladas,,,,,,
68,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
69,1.03.01.04,Outros Investimentos,1.625,1.625,1.625,,,
70,1.03.01.05,Provisão para Perdas,-1.358,-1.358,-1.358,,,
71,1.03.02,Imobilizado de Uso,152.170,165.676,166.017,,,
72,1.03.02.01,Imóveis de Uso,63.174,62.466,61.326,,,
73,1.03.02.02,Outras Imobilizações de Uso,191.787,198.924,199.372,,,
74,1.03.02.03,Reavaliações de Imóveis de Uso,48.029,48.029,48.029,,,
75,1.03.02.04,(Depreciações Acumuladas),-150.820,-143.743,-142.710,,,
76,1.03.03,Imobilizado de Arrendamento,,,,,,
77,1.03.04,Intangível,194.355,174.711,145.456,,,
78,1.03.04.01,Outros Ativos Intangíveis,346.514,299.875,253.759,,,
79,1.03.04.02,Amortizações Acumuladas,-152.159,-125.164,-108.303,,,
80,1.03.05,Diferido,,,,,,
81,1.03.05.01,Gastos de Organização e Expansão,,,,,,
82,1.03.05.02,Amortizações Acumuladas,,,,,,
83,2,Passivo Total,18.939.959,16.952.092,14.174.359,,,
84,2.01,Passivo Circulante,11.702.679,10.009.430,7.696.583,,,
85,2.01.01,Depósitos,3.513.163,3.214.441,2.528.151,,,
86,2.01.01.01,Depósitos à Vista,892.977,704.225,663.835,,,
87,2.01.01.02,Depósitos de Poupança,574.052,518.266,501.247,,,
88,2.01.01.03,Depósitos Interfinanceiros,36.984,22.631,12.531,,,
89,2.01.01.04,Depósitos à Prazo,2.009.150,1.969.319,1.350.538,,,
90,2.01.01.05,Outros Depósitos,,,,,,
91,2.01.02,Captações no Mercado Aberto,100.024,105.001,220.010,,,
92,2.01.02.01,Carteira Própria,100.024,105.001,220.010,,,
93,2.01.03,Recursos de Aceites e Emissão de Títulos,243.308,440.253,377.676,,,
94,2.01.03.01,Obrigações por Emissão de Letras de Crédito do Agronegócio,243.308,440.253,377.676,,,
95,2.01.04,Relações Interfinanceiras,855,754,39,,,
96,2.01.04.01,Recebimentos e Pagamentos a Liquidar,855,754,39,,,
97,2.01.05,Relações Interdependências,9.951,2.882,5.187,,,
98,2.01.05.01,Recursos em transito de Terceiros,1.969,1.248,3.819,,,
99,2.01.05.02,Transferências Internas de Recursos,7.982,1.634,1.368,,,
100,2.01.06,Obrigações por Empréstimos,52.158,53.974,51.332,,,
101,2.01.06.01,Empréstimos no País - Inst. Oficiais,,,,,,
102,2.01.06.02,Empréstimos no Exterior,52.158,53.974,51.332,,,
103,2.01.07,Obrigações por Repasse do País,128.087,118.784,115.825,,,
104,2.01.07.01,Tesouro Nacional,26.429,27.477,28.705,,,
105,2.01.07.02,BNDES,62.047,52.128,46.612,,,
106,2.01.07.03,CEF,,,,,,
107,2.01.07.04,Finame,39.542,39.066,40.365,,,
108,2.01.07.05,Finep,69,113,143,,,
109,2.01.08,Obrigações por Repasse do Exterior,,,,,,
110,2.01.09,Outras Obrigações,7.655.133,6.073.341,4.398.363,,,
111,2.01.09.01,Cobrança e Arrec.Trib. e Assemelhados,1.766,1.946,2.956,,,
