,Conta,Descrição,31/12/2014,31/12/2013,31/12/2012,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,978.703.169,882.083.756,844.401.756,,,
1,1.01,Ativo Circulante,601.147.548,520.738.924,522.863.586,,,
2,1.01.01,Disponibilidades,14.126.024,11.383.189,11.436.189,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,267.845.724,192.538.427,187.863.137,,,
4,1.01.02.01,Aplicações no Mercado Aberto,214.653.101,143.387.918,142.546.268,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,53.221.013,49.186.111,45.316.869,,,
6,1.01.02.05,Provisões para Perdas,-28.390,-35.602,0,,,
7,1.01.03,Títulos e Valores Mobiliários,123.058.123,115.254.631,142.859.201,,,
8,1.01.03.01,Carteira Própria,20.178.489,14.292.262,18.096.648,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,96.867.711,98.219.128,107.440.785,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,2.755.196,1.750.754,2.588.751,,,
11,1.01.03.04,Vinculados ao Banco Central,0,0,5.195.610,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,3.256.727,992.487,9.533.077,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,0,0,4.330,,,
14,1.01.04,Relações Interfinanceiras,50.203.216,55.021.188,47.989.496,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,84.000,45.224,28.525,,,
16,1.01.04.02,Depósitos no Banco Central,50.109.352,54.959.987,47.947.676,,,
17,1.01.04.04,Tesouro Nacional - Recursos do Crédito Rural,0,0,578,,,
18,1.01.04.05,SFH - Sistema Financeiro da Habitação,4.981,3.306,5.186,,,
19,1.01.04.07,Correspondentes,4.883,12.671,7.531,,,
20,1.01.05,Relações Interdependências,394.522,880.498,1.141.719,,,
21,1.01.05.02,Transferências Internas de Recursos,394.522,880.498,1.141.719,,,
22,1.01.06,Operações de Crédito,113.984.038,111.506.530,102.856.928,,,
