,Conta,Descrição,31/12/2014,31/12/2013,31/12/2012,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
31,2.01.06.01.01,Provisões Fiscais,,,,,,
32,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0,0.0,39.0,,,
33,2.01.06.01.03,Provisões para Benefícios a Empregados,,,,,,
34,2.01.06.01.04,Provisões Cíveis,,,,,,
35,2.01.06.01.05,Provisão trabalhista,0.0,204.0,991.0,,,
36,2.01.06.02,Outras Provisões,222.0,244.0,213.0,,,
37,2.01.06.02.01,Provisões para Garantias,,,,,,
38,2.01.06.02.02,Provisões para Reestruturação,,,,,,
39,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
40,2.01.06.02.04,Outras provisões,4.0,73.0,213.0,,,
41,2.01.06.02.05,Provisão para passivo a descoberto das investidas,218.0,171.0,0.0,,,
42,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
43,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
44,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
45,2.02,Passivo Não Circulante,5.013999999999999,3.5780000000000003,1.067,,,
46,2.02.01,Empréstimos e Financiamentos,,,,,,
47,2.02.01.01,Empréstimos e Financiamentos,,,,,,
48,2.02.01.01.01,Em Moeda Nacional,,,,,,
49,2.02.01.01.02,Em Moeda Estrangeira,,,,,,
50,2.02.01.02,Debêntures,,,,,,
51,2.02.01.03,Financiamento por Arrendamento Financeiro,,,,,,
52,2.02.02,Outras Obrigações,,,,,,
53,2.02.02.01,Passivos com Partes Relacionadas,,,,,,
54,2.02.02.01.01,Débitos com Coligadas,,,,,,
55,2.02.02.01.02,Débitos com Controladas,,,,,,
56,2.02.02.01.03,Débitos com Controladores,,,,,,
57,2.02.02.01.04,Débitos com Outras Partes Relacionadas,,,,,,
58,2.02.02.02,Outros,,,,,,
59,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,,,,,,
60,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,,,,,,
61,2.02.03,Tributos Diferidos,1.367,0.0,0.0,,,
62,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,1.367,0.0,0.0,,,
63,2.02.04,Provisões,3.647,3.5780000000000003,1.067,,,
64,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,3.647,3.5780000000000003,1.067,,,
65,2.02.04.01.01,Provisões Fiscais,,,,,,
66,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,,,,,,
67,2.02.04.01.03,Provisões para Benefícios a Empregados,,,,,,
68,2.02.04.01.04,Provisões Cíveis,3.647,3.5780000000000003,1.067,,,
69,2.02.04.02,Outras Provisões,,,,,,
70,2.02.04.02.01,Provisões para Garantias,,,,,,
71,2.02.04.02.02,Provisões para Reestruturação,,,,,,
72,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,,,,,,
73,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,
74,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,,,,,,
75,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,,,,,,
76,2.02.06,Lucros e Receitas a Apropriar,,,,,,
77,2.02.06.01,Lucros a Apropriar,,,,,,
78,2.02.06.02,Receitas a Apropriar,,,,,,
79,2.02.06.03,Subvenções de Investimento a Apropriar,,,,,,
80,2.03,Patrimônio Líquido,-20.788,-46.542,-18.386,,,
81,2.03.01,Capital Social Realizado,689.0,689.0,679.0,,,
82,2.03.01.01,Capital subscrito,689.0,689.0,679.0,,,
83,2.03.01.02,Capital a integralizar,,,,,,
84,2.03.02,Reservas de Capital,5.352,5.617000000000001,8.373,,,
85,2.03.02.01,Ágio na Emissão de Ações,,,,,,
86,2.03.02.02,Reserva Especial de Ágio na Incorporação,,,,,,
87,2.03.02.03,Alienação de Bônus de Subscrição,,,,,,
88,2.03.02.04,Opções Outorgadas,1.493,1.758,8.373,,,
89,2.03.02.05,Ações em Tesouraria,,,,,,
90,2.03.02.06,Adiantamento para Futuro Aumento de Capital,,,,,,
91,2.03.02.07,Exercício das Ações Outorgadas,3.859,3.859,0.0,,,
92,2.03.03,Reservas de Reavaliação,,,,,,
93,2.03.04,Reservas de Lucros,,,,,,
94,2.03.04.01,Reserva Legal,,,,,,
95,2.03.04.02,Reserva Estatutária,,,,,,
96,2.03.04.03,Reserva para Contingências,,,,,,
97,2.03.04.04,Reserva de Lucros a Realizar,,,,,,
98,2.03.04.05,Reserva de Retenção de Lucros,,,,,,
99,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,,,,,,
100,2.03.04.07,Reserva de Incentivos Fiscais,,,,,,
101,2.03.04.08,Dividendo Adicional Proposto,,,,,,
102,2.03.04.09,Ações em Tesouraria,,,,,,
103,2.03.05,Lucros/Prejuízos Acumulados,-26.829,-52.848,-27.438000000000002,,,
104,2.03.06,Ajustes de Avaliação Patrimonial,,,,,,
105,2.03.07,Ajustes Acumulados de Conversão,,,,,,
106,2.03.08,Outros Resultados Abrangentes,,,,,,
0,3.01,Receita de Venda de Bens e/ou Serviços,,,,,,
1,3.02,Custo dos Bens e/ou Serviços Vendidos,,,,,,
2,3.03,Resultado Bruto,,,,,,
3,3.04,Despesas/Receitas Operacionais,,,,-6.648,-17.819000000000003,-21.166
4,3.04.01,Despesas com Vendas,,,,,,
5,3.04.02,Despesas Gerais e Administrativas,,,,-3.0210000000000004,-8.832,-17.428
6,3.04.02.01,Pro-labore da diretoria,,,,-485.0,-2.355,-2.661
7,3.04.02.02,Despesas com pessoal,,,,-168.0,-493.0,-518.0
8,3.04.02.03,Encargos sociais,,,,-173.0,-558.0,-669.0
9,3.04.02.04,Serviços de terceiros,,,,-947.0,-3.282,-3.3539999999999996
10,3.04.02.05,Outras despesas administrativas,,,,-1.2990000000000002,-4.6930000000000005,-2.28
11,3.04.02.06,Outros impostos e taxas,,,,-89.0,-70.0,-60.0
