,Conta,Descrição,31/12/2013,31/12/2012,31/12/2011,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,882.083.756,844.401.756,753.336.888,,,
1,1.01,Ativo Circulante,520.738.924,522.863.586,502.028.656,,,
2,1.01.01,Disponibilidades,11.383.189,11.436.189,21.945.774,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,192.538.427,187.863.137,101.679.986,,,
4,1.01.02.01,Aplicações no Mercado Aberto,143.387.918,142.546.268,71.526.347,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,49.186.111,45.316.869,30.154.892,,,
6,1.01.02.05,Provisões para Perdas,-35.602,0,-1.253,,,
7,1.01.03,Títulos e Valores Mobiliários,115.254.631,142.859.201,184.744.455,,,
8,1.01.03.01,Carteira Própria,14.292.262,18.096.648,23.147.828,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,98.219.128,107.440.785,143.422.949,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,1.750.754,2.588.751,759.391,,,
11,1.01.03.04,Vinculados ao Banco Central,0,5.195.610,8.500.046,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,992.487,9.533.077,1.516.465,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,0,4.330,7.397.776,,,
14,1.01.04,Relações Interfinanceiras,55.021.188,47.989.496,71.250.080,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,45.224,28.525,40.613,,,
16,1.01.04.02,Depósitos no Banco Central,54.959.987,47.947.676,71.196.603,,,
17,1.01.04.04,Tesouro Nacional - Recursos do Crédito Rural,0,578,578,,,
18,1.01.04.05,SFH - Sistema Financeiro da Habitação,3.306,5.186,3.238,,,
19,1.01.04.07,Correspondentes,12.671,7.531,9.048,,,
20,1.01.05,Relações Interdependências,880.498,1.141.719,1.074.981,,,
21,1.01.05.02,Transferências Internas de Recursos,880.498,1.141.719,1.074.981,,,
22,1.01.06,Operações de Crédito,111.506.530,102.856.928,93.295.604,,,
23,1.01.06.01,Setor Público,44.870,332.345,642.055,,,
24,1.01.06.02,Setor Privado,121.398.365,111.856.755,101.450.384,,,
25,1.01.06.03,Provisão para Operações de Crédito de Liquidação Duvidosa,-9.936.705,-9.332.172,-8.796.835,,,
26,1.01.07,Operações de Arrendamento Mercantil,-6.688,-34.454,-57.463,,,
27,1.01.07.02,Setor Privado,30.129,185.331,420.301,,,
28,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-25.501,-168.296,-394.456,,,
29,1.01.07.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-11.316,-51.489,-83.308,,,
30,1.01.08,Outros Créditos,33.261.047,28.082.330,27.411.698,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,10.554,10.013,6.460,,,
32,1.01.08.02,Carteira de Câmbio,13.707.498,11.556.711,9.893.051,,,
33,1.01.08.03,Rendas a Receber,4.820.053,1.839.680,4.500.714,,,
34,1.01.08.04,Negociação e Intermediação de Valores,511.886,3.349.725,1.713.047,,,
35,1.01.08.08,Diversos,14.424.786,11.546.461,11.519.201,,,
36,1.01.08.09,Provisão para Outros Créditos de Liquidação Duvidosa,-213.730,-220.260,-220.775,,,
37,1.01.09,Outros Valores e Bens,900.102,669.040,683.541,,,
38,1.01.09.03,Outros Valores e Bens,773.043,445.040,313.623,,,
39,1.01.09.04,Provisões para Desvalorizações,-204.559,-134.927,-93.346,,,
40,1.01.09.05,Despesas Antecipadas,331.618,358.927,463.264,,,
41,1.02,Ativo Realizável a Longo Prazo,231.839.345,192.488.122,144.862.409,,,
42,1.02.01,Aplicações Interfinanceiras de Liquidez,24.239.022,24.246.436,23.343.939,,,
43,1.02.01.02,Aplicações em Depósitos Interfinanceiros,24.239.022,24.246.436,23.343.939,,,
44,1.02.02,Títulos e Valores Mobiliários,75.165.118,56.029.974,17.645.164,,,
45,1.02.02.01,Carteira Própria,15.181.849,12.498.370,10.188.692,,,
46,1.02.02.02,Vinculados a Compromissos de Recompra,54.859.094,38.868.715,7.139.161,,,
47,1.02.02.03,Instrumentos Financeiros Derivativos,745.467,575.681,158.101,,,
48,1.02.02.04,Vinculados ao Banco Central,0,1.498.742,0,,,
49,1.02.02.05,Moedas de Privatização,6.898,7.402,7.934,,,
50,1.02.02.06,Vinculados à Prestação de Garantias,4.011.788,113.944,151.276,,,
51,1.02.02.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,360.022,2.467.120,0,,,
52,1.02.03,Relações Interfinanceiras,583.626,555.758,528.685,,,
53,1.02.03.05,SFH - Sistema Financeiro da Habitação,583.626,555.758,528.685,,,
54,1.02.04,Relações Interdependências,,,,,,
55,1.02.05,Operações de Crédito,112.469.332,93.696.372,87.940.627,,,
56,1.02.05.01,Setor Público,2.143.961,90.835,399.481,,,
57,1.02.05.02,Setor Privado,116.436.215,99.523.906,92.748.960,,,
58,1.02.05.03,Provisão para Operações de Crédito de Liquidação Duvidosa,-6.110.844,-5.918.369,-5.207.814,,,
59,1.02.06,Operações de Arrendamento Mercantil,-4.182,-17.331,-54.698,,,
60,1.02.06.02,Setor Privado,4.469,40.148,267.254,,,
61,1.02.06.03,Rendas a Apropriar de Arrendamento Mercantil,-6.215,-46.952,-277.062,,,
62,1.02.06.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-2.436,-10.527,-44.890,,,
63,1.02.07,Outros Créditos,19.257.714,17.857.631,15.325.214,,,
64,1.02.07.04,Negociação e Intermediação de Valores,170.018,240.503,218.459,,,
65,1.02.07.08,Diversos,19.097.451,17.623.621,15.108.310,,,
