,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,779.011.514,684.614.027,752.986.536,,,
1,1.01,Ativo Circulante,495.071.546,378.400.031,451.755.119,,,
2,1.01.01,Disponibilidades,11.358.459,11.148.561,5.513.365,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,86.464.685,71.055.301,80.312.979,,,
4,1.01.02.01,Aplicações no Mercado Aberto,45.325.687,34.414.303,47.405.162,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,33.270.931,27.226.866,21.909.362,,,
6,1.01.02.03,Aplicações em Moedas Estrangeiras,7.868.067,9.414.132,10.998.455,,,
7,1.01.03,Títulos e Valores Mobiliários,77.244.185,59.009.344,97.187.849,,,
8,1.01.03.01,Carteira Própria,36.212.955,21.749.034,40.300.328,,,
9,1.01.03.02,Vinculados a Compromisso de Recompra,36.382.807,28.459.543,45.744.640,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,4.109.455,6.059.567,11.087.166,,,
11,1.01.03.05,Vinculados ao Banco Central,5.071,8.803,12.379,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,533.230,2.731.670,42.409,,,
13,1.01.03.07,Moedas de Privatização,667,727,927,,,
14,1.01.04,Relações Interfinanceiras,79.563.879,69.209.753,62.355.313,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,9.902.862,6.577.308,1.179,,,
16,1.01.04.02,Depósitos no Banco Central,69.625.795,62.384.107,60.821.548,,,
17,1.01.04.03,SFH - Sistema Financeiro da Habitação,175,2.326,1.742,,,
18,1.01.04.04,Repasses Interfinanceiros,13.187,227.630,1.507.241,,,
19,1.01.04.05,Correspondentes,21.860,18.382,23.603,,,
20,1.01.05,Relações Interdependências,,,,,,
21,1.01.06,Operações de Crédito,74.689.851,70.472.211,72.774.540,,,
22,1.01.06.01,Setor Público,162,11.926,3.024,,,
23,1.01.06.02,Setor Privado,78.890.129,73.988.046,76.601.989,,,
24,1.01.06.03,Operações de Crédito Vinculados a Cessão,,,,,,
25,1.01.06.04,(Provisão para Operações de Créditos Liquidação Duvidosa),-4.200.440,-3.527.761,-3.830.473,,,
26,1.01.07,Operações de Arrendamento Mercantil,0,0,4,,,
27,1.01.07.01,Setor Privado,0,0,5,,,
28,1.01.07.02,(Provisão para Créditos Arrendamento Mercantil de Liquidação Duvidosa),0,0,-1,,,
29,1.01.08,Outros Créditos,164.105.338,96.370.493,132.633.521,,,
30,1.01.08.01,Créditos por Avais e Fianças Honrados,57.723,39.186,1.062,,,
31,1.01.08.02,Carteira de Câmbio,105.683.300,53.370.513,89.829.757,,,
32,1.01.08.03,Rendas a Receber,2.112.919,2.238.371,1.459.653,,,
33,1.01.08.04,Negociação e Intermediação de Valores,1.628.363,985.646,1.527.178,,,
34,1.01.08.05,Créditos Tributários,7.502.420,3.340.220,8.234.581,,,
35,1.01.08.06,Diversos,47.846.548,36.821.967,31.949.644,,,
36,1.01.08.07,(Provisão para Outros Créditos de Liquidação Duvidosa),-725.935,-425.410,-368.354,,,
37,1.01.09,Outros Valores e Bens,1.645.149,1.134.368,977.548,,,
38,1.01.09.02,Outros Valores e Bens,1.235.921,906.375,740.639,,,
39,1.01.09.03,(Provisões para Desvalorizações),-161.942,-276.575,-78.412,,,
40,1.01.09.04,Despesas Antecipadas,571.170,373.855,315.321,,,
41,1.01.09.05,Ativos Não-Correntes Mantidos para Venda,0,130.713,0,,,
42,1.02,Ativo Realizável a Longo Prazo,253.043.465,278.811.570,274.424.155,,,
43,1.02.01,Aplicações Interfinanceiras de Liquidez,28.031.980,21.840.772,14.812.506,,,
44,1.02.01.01,Aplicações em Depósitos Interfinanceiros,28.031.980,21.840.772,14.812.506,,,
45,1.02.02,Títulos e Valores Mobiliários,98.229.938,125.931.316,126.433.127,,,
46,1.02.02.01,Carteira Própria,22.599.399,32.371.256,28.560.600,,,
47,1.02.02.02,Vinculados a Compromisso de Recompra,53.815.465,76.572.322,80.468.239,,,
48,1.02.02.03,Instrumentos Financeiros Derivativos,5.782.175,5.244.306,6.763.824,,,
49,1.02.02.04,Vinculados ao Banco Central,1.444.136,2.223.899,3.032.518,,,
50,1.02.02.05,Moedas de Privatização,779,1.278,1.846,,,
51,1.02.02.06,Vinculados à Prestação de Garantias,12.511.388,4.426.641,7.606.100,,,
52,1.02.02.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,2.076.596,5.091.614,0,,,
53,1.02.03,Relações Interfinanceiras,281.332,273.430,167.818,,,
54,1.02.03.01,SFH - Sistema Financeiro da Habitação,281.332,273.430,167.818,,,
55,1.02.04,Relações Interdependências,,,,,,
56,1.02.05,Operações de Crédito,94.654.519,86.203.176,84.068.998,,,
57,1.02.05.01,Setor Público,583.968,46.974,63.205,,,
58,1.02.05.02,Setor Privado,105.266.028,97.425.089,96.120.967,,,
59,1.02.05.03,Operações de Crédito Vinculados a Cessão,0,166.982,164.402,,,
60,1.02.05.04,(Provisão para Operações de Créditos de Liquidação Duvidosa),-11.195.477,-11.435.869,-12.279.576,,,
61,1.02.06,Operações de Arrendamento Mercantil,0,0,2,,,
62,1.02.06.01,Setor Privado,0,1,2,,,
63,1.02.06.02,(Provisão para Créditos Arrendamento Mercantil Liquidação Duvidosa),0,-1,0,,,
64,1.02.07,Outros Créditos,31.426.963,44.068.296,48.306.300,,,
65,1.02.07.01,Créditos por Avais e Fianças Honrados,486.323,315.956,53.524,,,
66,1.02.07.02,Carteira de Câmbio,1.690.088,6.748.712,2.316.371,,,
67,1.02.07.03,Rendas a Receber,146.813,223.648,213.362,,,
68,1.02.07.04,Negociação e Intermediação de Valores,,,,,,
69,1.02.07.05,Créditos Tributários,16.945.139,19.552.697,15.548.383,,,
70,1.02.07.06,Diversos,12.770.902,17.705.459,30.476.712,,,
71,1.02.07.07,(Provisão para Outros Créditos de Liquidação Duvidosa),-612.302,-478.176,-302.052,,,
72,1.02.08,Outros Valores e Bens,418.733,494.580,635.404,,,
73,1.02.08.01,Investimentos Temporários,1.622,1.765,101.801,,,
74,1.02.08.02,(Provisões para Perdas),-1.622,-1.765,-1.765,,,
75,1.02.08.03,Despesas Antecipadas,418.733,494.580,535.368,,,
