,Conta,Descrição,31/12/2013,31/12/2012,31/12/2011,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,33.817.503,31.888.888,26.435.588,,,
1,1.01,Ativo Circulante,15.349.319,14.312.230,10.584.659,,,
2,1.01.01,Disponibilidades,155.909,121.853,97.086,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,7.737.065,6.514.841,3.240.283,,,
4,1.01.02.01,Aplicações no Mercado Aberto,7.606.592,6.384.020,3.036.454,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,130.473,130.821,203.829,,,
6,1.01.03,Títulos e Valores Mobiliários,690.164,459.453,233.192,,,
7,1.01.03.01,Carteira Própria,690.083,309.498,233.158,,,
8,1.01.03.02,Instrumentos Financeiros Derivativos,81,0,34,,,
9,1.01.03.03,Vinculados a Prestação de Garantias,0,149.955,0,,,
10,1.01.04,Relações Interfinanceiras,369.442,315.987,267.274,,,
11,1.01.04.01,Pagamentos e Recebimentos a Liquidar,1.236,1.126,90,,,
12,1.01.04.02,Depósitos no Banco Central,351.120,306.374,260.563,,,
13,1.01.04.03,Tesouro Nacional Recursos do Crédito Rural,14.492,6.191,4.984,,,
14,1.01.04.04,Repasses Interfinanceiros,1.130,986,905,,,
15,1.01.04.05,Correspondentes,1.464,1.310,732,,,
16,1.01.05,Relações Interdependências,,,,,,
17,1.01.06,Operações de Crédito,4.365.875,4.775.461,4.950.715,,,
18,1.01.06.01,Setor Público,158.847,102.633,78.446,,,
19,1.01.06.02,Setor Privado,4.592.242,5.096.503,5.173.329,,,
20,1.01.06.03,Provisões para Operações de Crédito de Liquidação Duvidosa,-385.214,-423.675,-301.060,,,
21,1.01.07,Operações de Arrendamento Mercantil,,,,,,
22,1.01.08,Outros Créditos,2.004.904,2.100.029,1.778.988,,,
23,1.01.08.01,Créditos por Avais e Fianças Honrados,0,8,0,,,
24,1.01.08.02,Carteira de Câmbio,540.994,592.978,641.071,,,
25,1.01.08.03,Rendas a Receber,9.568,25.434,22.902,,,
26,1.01.08.04,Negociações e Intermediações de Valores,4,4,0,,,
27,1.01.08.05,Diversos,1.471.727,1.558.087,1.118.570,,,
28,1.01.08.06,Provisões para Outros Créditos de Liquidação Duvidosa,-17.389,-76.482,-3.555,,,
29,1.01.09,Outros Valores e Bens,25.960,24.606,17.121,,,
30,1.01.09.01,Outros Valores e Bens,5.654,5.924,6.169,,,
31,1.01.09.02,Provisões para Desvalorizações,-695,-760,-1.248,,,
32,1.01.09.03,Despesas Antecipadas,21.001,19.442,12.200,,,
33,1.02,Ativo Realizável a Longo Prazo,18.232.580,17.375.096,15.662.089,,,
34,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
35,1.02.02,Títulos e Valores Mobiliários,11.313.849,10.783.710,9.874.595,,,
36,1.02.02.01,Carteira Própria,9.547.043,9.691.773,8.878.659,,,
37,1.02.02.02,Vinculados a Compromisso de Recompra,1.126.481,665.509,672.509,,,
38,1.02.02.03,Instrumentos Financeiros Derivativos,337.967,193.640,44.860,,,
39,1.02.02.04,Vinculados à Prestação de Garantias,302.358,232.788,278.567,,,
40,1.02.03,Relações Interfinanceiras,42.634,40.609,36.863,,,
41,1.02.03.01,Tesouro Nacional Recursos do Crédito Rural,554,3,422,,,
42,1.02.03.02,SFH - Sistema Financeiro da Habitação,39.254,37.156,32.369,,,
43,1.02.03.03,Repasses Interfinanceiros,2.826,3.450,4.072,,,
44,1.02.04,Relações Interdependências,,,,,,
45,1.02.05,Operações de Crédito,5.882.508,5.748.868,5.639.615,,,
46,1.02.05.01,Setor Público,1.211.833,1.262.790,1.255.601,,,
47,1.02.05.02,Setor Privado,5.161.846,4.861.160,4.704.792,,,
48,1.02.05.03,Provisão para Operações de Crédito de Liquidação Duvidosa,-491.171,-375.082,-320.778,,,
49,1.02.06,Operações de Arrendamento Mercantil,,,,,,
50,1.02.07,Outros Créditos,993.589,801.909,111.016,,,
51,1.02.07.01,Créditos por Avais e Fianças Honrados,0,7,0,,,
52,1.02.07.02,Rendas a Receber,18.049,0,0,,,
53,1.02.07.03,Diversos,1.022.017,806.214,0,,,
54,1.02.07.04,Provisão para Outros Créditos de Liquidação Duvidosa,-46.477,-4.312,0,,,
55,1.02.08,Outros Valores e Bens,,,,,,
56,1.03,Ativo Permanente,235.604,201.562,188.840,,,
57,1.03.01,Investimentos,1.825,1.720,1.568,,,
58,1.03.01.01,Dependências no Exterior,,,,,,
59,1.03.01.02,Participações em Controladas,,,,,,
60,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
61,1.03.01.04,Outros Investimentos,7.128,7.023,6.871,,,
62,1.03.01.05,Provisão para Perdas,-5.303,-5.303,-5.303,,,
63,1.03.02,Imobilizado de Uso,220.993,198.906,185.569,,,
64,1.03.02.01,Imóveis de Uso,159.881,152.457,137.759,,,
65,1.03.02.02,Reavaliações de Imóveis de Uso,105.410,105.410,105.410,,,
66,1.03.02.03,Outras Imobilizações de Uso,235.024,191.645,166.672,,,
67,1.03.02.04,Depreciação Acumulada,-279.322,-250.606,-224.272,,,
68,1.03.03,Imobilizado de Arrendamento,,,,,,
69,1.03.04,Intangível,12.308,0,0,,,
70,1.03.04.01,Ativos Intangíveis,12.308,0,0,,,
71,1.03.05,Diferido,478,936,1.703,,,
72,1.03.05.01,Gastos de Organização e Expansão,2.008,2.939,4.624,,,
73,1.03.05.02,Amortização Acumulada,-1.530,-2.003,-2.921,,,
74,2,Passivo Total,33.817.503,31.888.888,26.435.588,,,
75,2.01,Passivo Circulante,13.285.888,10.594.408,9.748.154,,,
76,2.01.01,Depósitos,5.910.777,4.772.938,5.115.979,,,
77,2.01.01.01,Depósitos à Vista,244.175,118.635,162.445,,,
78,2.01.01.02,Depósitos de Poupança,1.872.563,1.615.970,1.329.994,,,
79,2.01.01.03,Depósitos Interfinanceiros,774.655,593.137,588.986,,,
80,2.01.01.04,Depósitos a Prazo,3.019.384,2.445.196,3.034.554,,,
81,2.01.01.05,Outros Depósitos,,,,,,
82,2.01.02,Captações no Mercado Aberto,1.127.212,738.598,637.812,,,
83,2.01.02.01,Carteira Própria,1.073.895,581.802,603.883,,,
84,2.01.02.02,Carteira de Terceiros,53.317,156.796,33.929,,,
85,2.01.03,Recursos de Aceites e Emissão de Títulos,19.488,75.476,199.732,,,
86,2.01.03.01,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",9.621,66.869,196.364,,,
87,2.01.03.02,Obrigações por Títulos e Valores Mobiliários no Exterior,9.867,8.607,3.368,,,
88,2.01.04,Relações Interfinanceiras,1.805,66,4,,,
89,2.01.04.01,Recebimento e Pagamentos a Liquidar,1.805,66,4,,,
