,Conta,Descrição,31/12/2016,31/12/2015,31/12/2014,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,1.081.616.451,947.122.904,978.703.169,,,
1,1.01,Ativo Circulante,523.119.746,484.078.330,601.147.548,,,
2,1.01.01,Disponibilidades,14.283.454,16.899.827,14.126.024,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,221.412.529,187.944.127,267.845.724,,,
4,1.01.02.01,Aplicações no Mercado Aberto,169.631.180,130.148.959,214.653.101,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,51.781.349,57.830.003,53.221.013,,,
6,1.01.02.05,Provisões para Perdas,0,-34.835,-28.390,,,
7,1.01.03,Títulos e Valores Mobiliários,63.156.422,75.424.381,123.058.123,,,
8,1.01.03.01,Carteira Própria,23.896.136,16.886.041,20.178.489,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,16.088.021,36.779.746,96.867.711,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,15.614.387,13.181.624,2.755.196,,,
11,1.01.03.04,Vinculados ao Banco Central,53.844,22.065,0,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,5.620.230,4.015.263,3.256.727,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,1.883.804,4.539.642,0,,,
14,1.01.04,Relações Interfinanceiras,57.998.881,53.844.021,50.203.216,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,22.015,73.764,84.000,,,
16,1.01.04.02,Depósitos no Banco Central,57.960.496,53.764.148,50.109.352,,,
17,1.01.04.05,SFH - Sistema Financeiro da Habitação,14.388,5.357,4.981,,,
18,1.01.04.07,Correspondentes,1.982,752,4.883,,,
19,1.01.05,Relações Interdependências,156.433,248.477,394.522,,,
20,1.01.05.02,Transferências Internas de Recursos,156.433,248.477,394.522,,,
21,1.01.06,Operações de Crédito,117.514.883,110.326.747,113.984.038,,,
22,1.01.06.01,Setor Público,311.129,2.320.680,1.063.399,,,
23,1.01.06.02,Setor Privado,133.047.172,122.523.622,124.007.478,,,
24,1.01.06.03,Operações de Crédito Vinculadas a Cessão,806.649,120.130,41.982,,,
25,1.01.06.04,Provisão para Operações de Crédito de Liquidação Duvidosa,-16.650.067,-14.637.685,-11.128.821,,,
26,1.01.07,Operações de Arrendamento Mercantil,-151,-483,-1.437,,,
27,1.01.07.02,Setor Privado,145,713,2.289,,,
28,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-145,-713,-2.289,,,
29,1.01.07.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-151,-483,-1.437,,,
30,1.01.08,Outros Créditos,46.314.003,37.135.643,30.454.342,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,1.377.161,104.099,38.498,,,
32,1.01.08.02,Carteira de Câmbio,17.630.927,14.369.499,11.774.294,,,
33,1.01.08.03,Rendas a Receber,3.213.963,5.281.602,3.025.085,,,
34,1.01.08.04,Negociação e Intermediação de Valores,821.436,931.814,491.657,,,
35,1.01.08.08,Diversos,25.341.796,16.937.619,15.390.219,,,
36,1.01.08.09,Provisão para Outros Créditos de Liquidação Duvidosa,-2.071.280,-488.990,-265.411,,,
37,1.01.09,Outros Valores e Bens,2.283.292,2.255.590,1.082.996,,,
38,1.01.09.03,Outros Valores e Bens,2.271.168,1.586.997,1.107.190,,,
39,1.01.09.04,Provisões para Desvalorizações,-935.987,-571.003,-331.667,,,
40,1.01.09.05,Despesas Antecipadas,948.111,1.239.596,307.473,,,
41,1.02,Ativo Realizável a Longo Prazo,450.362.632,384.788.106,249.649.679,,,
42,1.02.01,Aplicações Interfinanceiras de Liquidez,24.746.078,23.165.420,22.596.708,,,
43,1.02.01.02,Aplicações em Depósitos Interfinanceiros,24.746.078,23.165.420,22.596.708,,,
44,1.02.02,Títulos e Valores Mobiliários,240.752.821,179.808.555,73.880.618,,,
45,1.02.02.01,Carteira Própria,49.104.098,32.743.895,14.741.571,,,
46,1.02.02.02,Vinculados a Compromissos de Recompra,179.764.678,143.863.342,55.083.393,,,
47,1.02.02.03,Instrumentos Financeiros Derivativos,98.078,88.945,1.643.843,,,
48,1.02.02.04,Vinculados ao Banco Central,0,0,19.764,,,
49,1.02.02.05,Moedas de Privatização,5.571,6.001,6.426,,,
50,1.02.02.06,Vinculados à Prestação de Garantias,5.445.238,2.528.345,1.990.500,,,
51,1.02.02.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,6.335.158,578.027,395.121,,,
52,1.02.03,Relações Interfinanceiras,778.254,680.860,617.154,,,
53,1.02.03.05,SFH - Sistema Financeiro da Habitação,778.254,680.860,617.154,,,
54,1.02.04,Relações Interdependências,,,,,,
55,1.02.05,Operações de Crédito,145.455.442,140.255.367,128.748.287,,,
56,1.02.05.01,Setor Público,3.000.000,3.000.000,756.820,,,
57,1.02.05.02,Setor Privado,145.100.677,137.991.412,129.607.922,,,
58,1.02.05.03,Operações de Crédito Vinculadas a Cessão,7.955.849,7.390.609,4.911.791,,,
59,1.02.05.04,Provisão para Operações de Crédito de Liquidação Duvidosa,-10.601.084,-8.126.654,-6.528.246,,,
60,1.02.06,Operações de Arrendamento Mercantil,-3,-43,-494,,,
61,1.02.06.02,Setor Privado,109,322,1.613,,,
62,1.02.06.03,Rendas a Apropriar de Arrendamento Mercantil,-76,-243,-1.396,,,
63,1.02.06.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-36,-122,-711,,,
64,1.02.07,Outros Créditos,37.682.578,40.766.786,23.636.587,,,
65,1.02.07.03,Rendas a Receber,0,251.977,0,,,
66,1.02.07.04,Negociação e Intermediação de Valores,478.290,1.067.781,398.032,,,
67,1.02.07.08,Diversos,37.220.391,39.474.512,23.249.673,,,
68,1.02.07.09,Provisão para Outros Créditos de Liquidação Duvidosa,-16.103,-27.484,-11.118,,,
69,1.02.08,Outros Valores e Bens,947.462,111.161,170.819,,,
70,1.02.08.05,Despesas Antecipadas,947.462,111.161,170.819,,,
71,1.03,Ativo Permanente,108.134.073,78.256.468,127.905.942,,,
72,1.03.01,Investimentos,99.112.893,70.605.645,120.511.163,,,
73,1.03.01.01,Dependências no Exterior,,,,,,
74,1.03.01.02,Participações em Controladas,99.094.670,70.597.294,120.506.649,,,
75,1.03.01.02.01,No País,96.926.003,68.090.691,118.795.143,,,
76,1.03.01.02.02,No Exterior,2.168.667,2.506.603,1.711.506,,,
77,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
78,1.03.01.04,Outros Investimentos,68.304,51.920,47.863,,,
79,1.03.01.05,Provisão para Perdas,-50.081,-43.569,-43.349,,,
80,1.03.02,Imobilizado de Uso,4.578.415,3.125.193,2.705.169,,,
81,1.03.02.02,Imóveis de Uso,669.618,17.414,43.108,,,
82,1.03.02.03,Outras Imobilizações de Uso,8.364.374,7.257.441,6.579.881,,,
83,1.03.02.04,Depreciações Acumuladas,-4.455.577,-4.149.662,-3.917.820,,,
84,1.03.03,Imobilizado de Arrendamento,26.968,65.027,108.207,,,
85,1.03.03.01,Bens Arrendados,51.071,122.058,252.814,,,
86,1.03.03.02,Depreciações Acumuladas,-24.103,-57.031,-144.607,,,
87,1.03.04,Intangível,4.415.797,4.460.603,4.581.403,,,
88,1.03.04.01,Ativos Intangíveis,12.317.242,10.223.420,8.815.293,,,
89,1.03.04.02,Amortização Acumulada,-7.901.445,-5.762.817,-4.233.890,,,
90,1.03.05,Diferido,,,,,,
91,1.03.05.01,Gastos de Organização e Expansão,,,,,,
92,1.03.05.02,Amortização Acumulada,,,,,,
93,2,Passivo Total,1.081.616.451,947.122.904,978.703.169,,,
