,Conta,Descrição,31/12/2013,31/12/2012,31/12/2011,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011
0,1,Ativo Total,13.928.557,12.379.740,10.060.680,,,
1,1.01,Ativo Circulante,8.376.398,8.642.952,6.684.652,,,
2,1.01.01,Disponibilidades,234.707,181.066,169.231,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,3.429.025,5.030.442,3.412.810,,,
4,1.01.02.01,Aplicações no Mercado Aberto,3.320.267,5.030.442,3.407.528,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,108.758,0,5.282,,,
6,1.01.03,Títulos e Valores Mobiliários,1.187.855,456.401,538.116,,,
7,1.01.03.01,Carteira Própria,467.125,382.048,490.144,,,
8,1.01.03.02,Vinculados a Compromisso de Recompra,676.396,61.234,46.120,,,
9,1.01.03.03,Vinculados a Prestação de Garantia,11.607,13.119,1.798,,,
10,1.01.03.04,Vinculados ao Banco Central,32.727,0,0,,,
11,1.01.03.05,Instrumentos Financeiros Derivativos,0,0,54,,,
12,1.01.04,Relações Interfinanceiras,1.155.843,726.366,564.823,,,
13,1.01.04.01,Pagamentos e Recebimentos a Liquidar,289,3.209,629,,,
14,1.01.04.02,Créditos Vinculados - Depósitos no Banco Central do Brasil,1.151.930,719.751,561.255,,,
15,1.01.04.03,Correspondentes,3.624,3.406,2.939,,,
16,1.01.05,Relações Interdependências,2,4,54,,,
17,1.01.05.01,Recursos em Trânsito de Terceiros,2,0,1,,,
18,1.01.05.02,Transferências Internas de Recursos,0,4,53,,,
19,1.01.06,Operações de Crédito,1.818.512,1.740.330,1.502.263,,,
20,1.01.06.01,Operações de Crédito - Setor Privado,1.989.591,1.858.261,1.619.069,,,
21,1.01.06.02,(Provisão para Perdas de Operações de Crédito),-171.079,-117.931,-116.806,,,
22,1.01.07,Operações de Arrendamento Mercantil,38.784,47.013,49.771,,,
23,1.01.07.01,Operações de Arrendamentos a Receber - Setor Privado,42.257,49.646,51.719,,,
24,1.01.07.02,(Provisão para Perdas de Arrendamento Mercantil),-3.473,-2.633,-1.948,,,
