,Conta,Descrição,31/12/2010,31/12/2009,31/12/2008,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009,01/01/2008 a 31/12/2008
0,1,Ativo Total,635.081.129,510.422.570,458.421.874,,,
1,1.01,Ativo Circulante,391.178.462,324.048.810,305.503.326,,,
2,1.01.01,Disponibilidades,15.582.999,6.763.430,8.814.635,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,90.791.455,129.440.111,96.633.066,,,
4,1.01.02.01,Aplicações no Mercado Aberto,66.178.702,101.891.689,61.483.417,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,24.614.139,27.549.281,35.152.468,,,
6,1.01.02.05,Provisões para Perdas,-1.386,-859,-2.819,,,
7,1.01.03,Títulos e Valores Mobiliários,112.572.832,76.822.423,79.083.759,,,
8,1.01.03.01,Carteira Própria,14.157.456,12.395.141,12.064.830,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,95.360.960,50.175.458,46.073.641,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,1.590.733,663.906,1.913.556,,,
11,1.01.03.04,Vinculados ao Banco Central,0,8.682.594,13.183.184,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,1.407.393,3.359.005,5.806.494,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,56.290,1.546.319,42.054,,,
14,1.01.04,Relações Interfinanceiras,65.249.267,17.611.506,13.238.201,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,52.653,50.313,71.068,,,
16,1.01.04.02,Depósitos no Banco Central,65.186.282,17.549.776,13.155.294,,,
17,1.01.04.04,Tesouro Nacional - Recursos do Crédito Rural,578,578,578,,,
18,1.01.04.05,SFH - Sistema Financeiro da Habitação,6.044,4.379,5.267,,,
19,1.01.04.07,Correspondentes,3.710,6.460,5.994,,,
20,1.01.05,Relações Interdependências,562.469,238.588,55.064,,,
21,1.01.05.02,Transferências Internas de Recursos,562.469,238.588,55.064,,,
22,1.01.06,Operações de Crédito,81.656.656,66.692.079,65.644.233,,,
23,1.01.06.01,Setor Público,640.088,1.154.309,83.724,,,
24,1.01.06.02,Setor Privado,88.549.659,73.382.850,71.355.558,,,
25,1.01.06.03,Provisão para Operações de Crédito de Liquidação Duvidosa,-7.533.091,-7.845.080,-5.795.049,,,
26,1.01.07,Operações de Arrendamento Mercantil,-167.176,-61.539,-1.493,,,
27,1.01.07.02,Setor Privado,625.501,910.377,545.620,,,
28,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-676.304,-878.847,-541.905,,,
29,1.01.07.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-116.373,-93.069,-5.208,,,
30,1.01.08,Outros Créditos,24.298.250,25.859.903,41.465.335,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,5.759,21.092,40.513,,,
32,1.01.08.02,Carteira de Câmbio,9.445.491,8.969.213,24.836.791,,,
33,1.01.08.03,Rendas a Receber,4.756.578,4.228.829,2.655.310,,,
34,1.01.08.04,Negociação e Intermediação de Valores,215.315,341.828,1.020.359,,,
35,1.01.08.08,Diversos,10.100.748,12.854.092,13.176.768,,,
36,1.01.08.09,Provisão para Outros Créditos de Liquidação Duvidosa,-225.641,-555.151,-264.406,,,
37,1.01.09,Outros Valores e Bens,631.710,682.309,570.526,,,
38,1.01.09.03,Outros Valores e Bens,253.470,260.467,204.198,,,
39,1.01.09.04,Provisões para Desvalorizações,-98.438,-94.319,-83.847,,,
40,1.01.09.05,Despesas Antecipadas,476.678,516.161,450.175,,,
41,1.02,Ativo Realizável a Longo Prazo,145.043.697,103.452.001,86.915.124,,,
42,1.02.01,Aplicações Interfinanceiras de Liquidez,19.977.717,20.307.381,17.654.717,,,
