,Conta,Descrição,31/12/2010,31/12/2009,31/12/2008,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009,01/01/2008 a 31/12/2008
0,1,Ativo Total,396.371.859,352.303.783,206.410.718,,,
1,1.01,Ativo Circulante,195.243.147,175.814.921,101.355.765,,,
2,1.01.01,Disponibilidades,4.375.077,5.597.548,2.449.760,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,31.655.506,39.072.317,29.452.723,,,
4,1.01.02.01,Aplicações no Mercado Aberto,13.229.837,21.334.716,18.108.018,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,14.147.122,16.350.173,3.024.246,,,
6,1.01.02.03,Aplicações em Moeda Estrangeira,4.278.547,1.387.428,8.320.459,,,
7,1.01.03,Títulos e Valores Mobiliários,26.158.635,30.522.711,17.041.998,,,
8,1.01.03.01,Carteira Própria,13.563.844,22.008.486,6.378.524,,,
9,1.01.03.02,Vinculados a Compromisso de Recompra,9.642.805,3.103.284,1.847.562,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,1.808.719,2.479.049,4.833.537,,,
11,1.01.03.04,Tít. Obj. de Oper. Comprom. Livre Mov.,0,0,43.944,,,
12,1.01.03.05,Vinculados ao Banco Central,777.707,2.512.805,2.522.764,,,
13,1.01.03.06,Vinculados à Prestação de Garantias,365.560,419.087,1.415.667,,,
14,1.01.04,Relações Interfinanceiras,38.998.435,8.648.010,2.641.314,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,8.395,15.529,2.758,,,
16,1.01.04.02,Depósitos no Banco Central,38.966.991,8.538.602,2.540.289,,,
17,1.01.04.03,SFH - Sistema Financeiro da Habitação,2.059,5.942,95.500,,,
18,1.01.04.04,Repasses Interfinanceiros,0,66.464,0,,,
19,1.01.04.05,Correspondentes,20.990,21.473,2.767,,,
20,1.01.05,Relações Interdependências,1.751,2.135,3.870,,,
21,1.01.05.01,Recursos em Trânsito de Terceiros,1.751,2.135,3,,,
22,1.01.05.02,Transferências Internas de Recursos,0,0,3.867,,,
23,1.01.06,Operações de Crédito,56.639.642,46.708.229,27.187.614,,,
24,1.01.06.01,Setor Público,73.472,70.578,44.678,,,
25,1.01.06.02,Setor Privado,57.880.579,47.982.332,27.337.675,,,
26,1.01.06.03,(Prov. p/Crédito Liquidação Duvidosa),-1.314.409,-1.344.681,-194.739,,,
27,1.01.07,Operações de Arrendamento Mercantil,159.530,199.250,215.108,,,
28,1.01.07.01,Setor Privado,175.067,210.881,220.940,,,
29,1.01.07.02,(Prov. p/ Créd. Arrend. Merc. Liq. Duvidosa),-15.537,-11.631,-5.832,,,
30,1.01.08,Outros Créditos,36.905.962,44.699.780,22.258.872,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,1.264,2.030,1.495,,,
32,1.01.08.02,Carteira de Câmbio,20.055.172,30.292.620,14.744.632,,,
33,1.01.08.03,Rendas a Receber,832.179,501.342,514.451,,,
34,1.01.08.04,Negociação e Intermediação de Valores,645.952,104.047,1.351.645,,,
35,1.01.08.05,Créditos Tributários,4.925.931,5.084.675,2.295.074,,,
36,1.01.08.06,Diversos,10.558.752,8.823.559,3.373.721,,,
37,1.01.08.07,(Prov. p/ Créd. Liq. Duvidosa),-113.288,-108.493,-22.146,,,
38,1.01.09,Outros Valores e Bens,348.609,364.941,104.506,,,
39,1.01.09.01,Outros Valores e Bens,108.495,216.916,189.148,,,
40,1.01.09.02,(Provisões para Desvalorizações),-98.811,-122.614,-148.192,,,
41,1.01.09.03,Despesas Antecipadas,338.925,270.639,63.550,,,
42,1.02,Ativo Realizável a Longo Prazo,155.227.016,130.097.923,59.857.273,,,
43,1.02.01,Aplicações Interfinanceiras de Liquidez,9.703.277,6.710.196,1.683.124,,,
44,1.02.01.01,Aplicações em Depósitos Interfinanceiros,9.373.447,6.365.510,1.217.683,,,
45,1.02.01.02,Aplicações em Moeda Estrangeira,330.030,344.886,465.641,,,
46,1.02.01.03,(Provisões para Perdas),-200,-200,-200,,,
47,1.02.02,Títulos e Valores Mobiliários,70.025.053,56.900.061,13.268.073,,,
48,1.02.02.01,Carteira Própria,7.195.826,18.461.801,1.042.582,,,
49,1.02.02.02,Vinculados a Compromisso de Recompra,48.079.904,17.344.683,2.291.674,,,
50,1.02.02.03,Instrumentos Financeiros Derivativos,3.208.409,2.721.838,2.635.150,,,
51,1.02.02.04,Vinculados ao Banco Central,6.481.649,15.481.638,3.595.489,,,
52,1.02.02.05,Moedas de Privatização,1.943,1.550,1.395,,,
53,1.02.02.06,Vinculados à Prestação de Garantias,5.057.322,2.888.551,3.701.783,,,
54,1.02.03,Relações Interfinanceiras,185.069,239.918,68.492,,,
55,1.02.03.01,SFH - Sistema Financeiro da Habitação,185.069,175.029,68.492,,,
56,1.02.03.02,Repasses Interfinanceiros,0,64.889,0,,,
57,1.02.04,Relações Interdependências,,,,,,
58,1.02.05,Operações de Crédito,60.650.568,50.889.036,20.238.048,,,
59,1.02.05.01,Setor Público,144.225,174.606,148.163,,,
60,1.02.05.02,Setor Privado,66.443.788,57.284.691,22.412.077,,,
61,1.02.05.03,(Prov. p/ Crédito Liquidação Duvidosa),-5.937.445,-6.570.261,-2.322.192,,,
62,1.02.06,Operações de Arrendamento Mercantil,173.546,399.919,627.911,,,
63,1.02.06.01,Setor Privado,206.465,431.908,631.539,,,
64,1.02.06.02,(Prov. p/ Cred. de Arr. Merc. Liq. Duv.),-32.919,-31.989,-3.628,,,
65,1.02.07,Outros Créditos,14.461.069,14.874.566,23.867.217,,,
66,1.02.07.01,Créditos por Avais e Fianças Honrados,8.854,16.874,9.812,,,
67,1.02.07.02,Carteira de Câmbio,134.569,895.101,16.083.523,,,
68,1.02.07.03,Rendas a Receber,56.785,46.749,36.876,,,
69,1.02.07.04,Créditos Tributários,6.404.427,6.130.518,3.166.978,,,
70,1.02.07.05,Diversos,8.083.732,8.012.024,4.657.975,,,
71,1.02.07.06,"(Prov. p/ Outros Cred, de /Liq. Duv.)",-227.298,-226.700,-87.947,,,
72,1.02.08,Outros Valores e Bens,28.434,84.227,104.408,,,
73,1.02.08.01,Investimentos Temporários,8.061,8.061,9.687,,,
74,1.02.08.02,(Provisões para Perdas),-1.765,-1.765,-647,,,
75,1.02.08.03,Despesas Antecipadas,22.138,77.931,95.368,,,
76,1.03,Ativo Permanente,45.901.696,46.390.939,45.197.680,,,
77,1.03.01,Investimentos,19.068.672,17.712.472,14.984.082,,,
78,1.03.01.01,Dependências no Exterior,,,,,,
79,1.03.01.02,Participações em Controladas,19.022.918,17.683.494,15.055.983,,,
80,1.03.01.02.01,No País,18.931.334,17.587.736,14.940.503,,,
81,1.03.01.02.02,No Exterior,91.584,95.758,115.480,,,
82,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
83,1.03.01.04,Outros Investimentos,86.763,106.316,20.216,,,
84,1.03.01.05,Provisão para Perdas,-41.009,-77.338,-92.117,,,
85,1.03.02,Imobilizado de Uso,4.406.494,3.605.974,2.524.321,,,
86,1.03.02.01,Imóveis de Uso,2.140.716,1.471.945,341.985,,,
87,1.03.02.02,Outras Imobilizações de Uso,5.577.194,5.068.666,3.648.950,,,
88,1.03.02.03,(Depreciações Acumuladas),-3.311.416,-2.934.637,-1.466.614,,,
89,1.03.03,Imobilizado de Arrendamento,,,,,,
90,1.03.04,Intangível,22.426.530,25.072.493,27.689.277,,,
91,1.03.04.01,Ágio na Aquisição de Sociedades Controladas,26.810.539,26.619.000,26.333.931,,,
92,1.03.04.02,Outros Ativos Intangíveis,5.562.684,4.383.216,3.513.677,,,
93,1.03.04.03,(Amortizações Acumuladas),-9.946.693,-5.929.723,-2.158.331,,,
94,1.03.05,Diferido,,,,,,
95,2,Passivo Total,396.371.859,352.303.783,206.410.718,,,
96,2.01,Passivo Circulante,220.371.078,178.795.915,99.308.362,,,
97,2.01.01,Depósitos,100.474.701,82.415.068,39.326.071,,,
98,2.01.01.01,Depósitos à Vista,16.107.511,14.968.013,5.022.049,,,
