,Conta,Descrição,31/12/2016,31/12/2015,31/12/2014,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014
0,1,Ativo Total,14.174.359,12.083.092,12.418.434,,,
1,1.01,Ativo Circulante,5.554.987,4.688.050,5.730.271,,,
2,1.01.01,Disponibilidades,30.979,37.685,50.478,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,1.438.494,421.876,548.627,,,
4,1.01.02.01,Aplicações no Mercado Aberto,1.313.232,309.995,337.998,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,157.536,148.148,246.896,,,
6,1.01.02.03,(Provisões para Perdas),-32.274,-36.267,-36.267,,,
7,1.01.03,Títulos e Valores Mobiliários,1.042.155,1.472.960,2.602.573,,,
8,1.01.03.01,Carteira Própria,800.704,1.372.793,2.291.840,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,220.109,100.167,310.733,,,
10,1.01.03.03,Vinculados à Prestação de Garantias,21.342,0,0,,,
11,1.01.04,Relações Interfinanceiras,391.799,250.509,355.318,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,984,1.381,3.306,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Bacen,390.727,249.105,352.001,,,
14,1.01.04.03,Créditos Vinculados - SFH,88,23,11,,,
15,1.01.05,Relações Interdependências,0,1.154,510,,,
16,1.01.06,Operações de Crédito,2.223.090,2.207.648,1.833.178,,,
17,1.01.06.01,Operações de Crédito - Setor Público,352.415,152.155,221.543,,,
18,1.01.06.02,Operações de Crédito - Setor Privado,2.028.215,2.194.719,1.667.793,,,
19,1.01.06.03,(Provisões para operações de Crédito),-157.540,-139.226,-56.158,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,427.446,295.284,339.005,,,
22,1.01.08.01,Carteira de Cambio,52.789,48.394,27.444,,,
23,1.01.08.02,Rendas a Receber,133.464,59.783,56.623,,,
24,1.01.08.03,Devedores por Compra de Valores e Bens,219,230,958,,,
25,1.01.08.04,Devedores por Depósitos em Garantia,39.707,46.824,44.748,,,
26,1.01.08.05,Títulos e Créditos a Receber,325,1.244,29.100,,,
27,1.01.08.06,Pagamentos a Ressarcir,14.406,11.576,18.236,,,
28,1.01.08.07,Créditos Tributários - IR/CS,169.117,106.512,109.178,,,
29,1.01.08.08,Impostos e Contribuições a Compensar,32,14,25,,,
30,1.01.08.09,Diversos,18.542,20.855,57.588,,,
31,1.01.08.10,(Provisão para Outros Créditos),-1.204,-225,-4.914,,,
32,1.01.08.11,Negociação e Intermediação de Valores,49,77,19,,,
33,1.01.09,Outros Valores e Bens,1.024,934,582,,,
