,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
0,1,Ativo Total,160.744.460,155.138.971,137.489.919,,,
1,1.01,Ativo Circulante,106.748.873,101.473.672,83.767.434,,,
2,1.01.01,Disponibilidades,354.764,3.674.112,220.756,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,43.861.179,27.136.910,20.536.791,,,
4,1.01.02.01,Aplicações no mercado aberto,41.489.306,25.834.469,18.682.903,,,
5,1.01.02.02,Aplicações em depósitos interfinanceiros,2.371.873,1.302.441,1.853.888,,,
6,1.01.03,Títulos e Valores Mobiliários,29.669.075,37.214.764,34.615.195,,,
7,1.01.03.01,Carteira própria,22.319.514,16.294.353,13.678.855,,,
8,1.01.03.02,Vinculados a compromissos de recompra,1.863.087,3.011.543,8.578.277,,,
9,1.01.03.03,Instrumentos financeiros derivativos,4.815.186,17.112.693,10.696.271,,,
10,1.01.03.04,Vinculados à prestação de garantias,640.465,651.948,1.476.343,,,
11,1.01.03.05,Títulos objeto de operações compromissadas de livre movimentação,30.823,144.227,185.449,,,
12,1.01.03.06,Vinculados ao Banco Central,,,,,,
13,1.01.04,Relações Interfinanceiras,1.447.004,1.472.947,1.962.901,,,
14,1.01.04.01,Créditos vinculados - Depósitos no Banco Central,1.446.125,1.472.947,1.962.901,,,
15,1.01.04.02,Correspondentes,879,0,0,,,
16,1.01.05,Relações Interdependências,,,,,,
17,1.01.06,Operações de Crédito,5.720.077,4.526.820,3.334.199,,,
18,1.01.06.01,Operações de crédito - setor privado,5.856.673,4.650.605,3.653.847,,,
19,1.01.06.02,Provisão para perdas em operações de crédito,-136.896,-438.357,-332.496,,,
20,1.01.06.03,Operações de crédito cedidas,300,314.572,12.848,,,
21,1.01.07,Operações de Arrendamento Mercantil,,,,,,
22,1.01.08,Outros Créditos,25.653.665,27.426.943,23.043.680,,,
