,Conta,Descrição,31/12/2011,31/12/2010,31/12/2009,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
105,2.02.03.01,Recursos de Letras Imobiliárias e Financeiras,0,7.345,0,,,
106,2.02.04,Relações Interfinanceiras,,,,,,
107,2.02.05,Relações Interdependências,,,,,,
108,2.02.06,Obrigações por Empréstimos,46.504,549,20.546,,,
109,2.02.06.01,No exterior,46.504,549,20.546,,,
110,2.02.07,Obrigações por Repasse do País,136.816,84.354,77.328,,,
111,2.02.07.01,BNDES,57.320,28.154,6.911,,,
112,2.02.07.02,FINAME,66.785,39.856,44.101,,,
113,2.02.07.03,Outras instituições,12.711,16.344,26.316,,,
114,2.02.08,Obrigações por Repasse do Exterior,,,,,,
115,2.02.09,Outras Obrigações,9.096,7.362,3.831,,,
116,2.02.09.01,Fiscais e Previdenciárias,7.510,5.462,2.904,,,
117,2.02.09.02,Instrumentos Financeiros Derivativos,15,0,745,,,
118,2.02.09.03,Diversas,1.571,1.900,182,,,
119,2.03,Resultados de Exercícios Futuros,1.503,462,284,,,
120,2.05,Patrimônio Líquido,577.135,426.425,432.694,,,
121,2.05.01,Capital Social Realizado,572.396,370.983,370.983,,,
122,2.05.01.01,De Domiciliados no País,572.396,370.983,370.983,,,
123,2.05.02,Reservas de Capital,5.899,2.212,779,,,
124,2.05.03,Reservas de Reavaliação,1.389,1.928,1.995,,,
125,2.05.03.01,Ativos Próprios,1.389,1.928,1.995,,,
126,2.05.03.02,Controladas/Coligadas e Equiparadas,,,,,,
127,2.05.04,Reservas de Lucro,-5.958,49.855,58.837,,,
128,2.05.04.01,Legal,0,11.853,10.403,,,
129,2.05.04.02,Estatutária,0,43.959,51.814,,,
130,2.05.04.03,Para Contingências,,,,,,
131,2.05.04.04,De Lucros a Realizar,,,,,,
132,2.05.04.05,Retenção de Lucros,-5.958,-5.957,-3.380,,,
133,2.05.04.05.01,Ações em Tesouraria,-5.958,-5.957,-3.380,,,
134,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
135,2.05.04.07,Outras Reservas de Lucro,,,,,,
