,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,1.147.028.009,1.112.201.445,1.053.117.128,,,
1,1.01,Ativo Circulante,572.182.438,592.819.158,539.676.344,,,
2,1.01.01,Disponibilidades,18.187.695,18.931.103,14.738.357,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,77.823.516,190.849.411,197.288.212,,,
4,1.01.02.01,Aplicações no Mercado Aberto,48.110.766,96.206.082,144.359.244,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,29.712.763,94.645.697,52.934.861,,,
6,1.01.02.05,Provisões para Perdas,-13,-2.368,-5.893,,,
7,1.01.03,Títulos e Valores Mobiliários,126.977.756,115.617.280,94.259.311,,,
8,1.01.03.01,Carteira Própria,38.355.141,17.380.486,26.432.962,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,72.497.164,72.697.680,45.754.467,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,5.819.610,13.157.791,13.143.479,,,
11,1.01.03.04,Vinculados ao Banco Central,5.197,0,0,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,8.171.107,8.204.316,8.339.569,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,2.129.537,4.177.007,588.834,,,
14,1.01.04,Relações Interfinanceiras,100.217.804,91.558.918,66.725.598,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,9.602.643,4.012.910,65.320,,,
16,1.01.04.02,Depósitos no Banco Central,90.575.632,87.525.291,66.637.298,,,
17,1.01.04.05,SFH - Sistema Financeiro da Habitação,26.611,19.887,21.760,,,
18,1.01.04.07,Correspondentes,12.918,830,1.220,,,
19,1.01.05,Relações Interdependências,239.547,143.826,262.739,,,
20,1.01.05.02,Transferências Internas de Recursos,239.547,143.826,262.739,,,
21,1.01.06,Operações de Crédito,127.761.450,108.618.616,104.809.579,,,
22,1.01.06.01,Setor Público,25.751,38.882,158.168,,,
23,1.01.06.02,Setor Privado,142.408.954,122.396.321,119.232.300,,,
24,1.01.06.03,Operações de Crédito Vinculadas a Cessão,789.841,909.392,1.031.500,,,
25,1.01.06.04,Provisão para Operações de Crédito de Liquidação Duvidosa,-15.463.096,-14.725.979,-15.612.389,,,
26,1.01.07,Operações de Arrendamento Mercantil,-11,-51,-78,,,
27,1.01.07.02,Setor Privado,22,95,242,,,
28,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-22,-85,-224,,,
29,1.01.07.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-11,-61,-96,,,
30,1.01.08,Outros Créditos,118.840.735,64.598.555,57.867.210,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,685.042,167.777,128.392,,,
32,1.01.08.02,Carteira de Câmbio,31.215.701,20.459.806,17.469.599,,,
33,1.01.08.03,Rendas a Receber,4.529.801,5.645.661,3.778.175,,,
34,1.01.08.04,Negociação e Intermediação de Valores,1.039.921,370.038,521.108,,,
35,1.01.08.08,Diversos,84.174.653,39.138.795,37.027.521,,,
36,1.01.08.09,Provisão para Outros Créditos de Liquidação Duvidosa,-2.804.383,-1.183.522,-1.057.585,,,
37,1.01.09,Outros Valores e Bens,2.133.946,2.501.500,3.725.416,,,
38,1.01.09.03,Outros Valores e Bens,2.614.111,2.519.423,2.421.242,,,
39,1.01.09.04,Provisões para Desvalorizações,-1.646.220,-1.459.073,-1.113.782,,,
40,1.01.09.05,Despesas Antecipadas,1.166.055,1.441.150,2.417.956,,,
41,1.02,Ativo Realizável a Longo Prazo,433.390.455,397.308.682,396.648.840,,,
42,1.02.01,Aplicações Interfinanceiras de Liquidez,25.908.166,26.548.355,23.895.603,,,
43,1.02.01.02,Aplicações em Depósitos Interfinanceiros,25.908.166,26.548.355,23.895.603,,,
44,1.02.02,Títulos e Valores Mobiliários,195.611.610,172.251.295,197.734.663,,,
45,1.02.02.01,Carteira Própria,81.516.279,60.804.720,61.926.581,,,
46,1.02.02.02,Vinculados a Compromissos de Recompra,94.535.779,110.148.280,128.899.686,,,
47,1.02.02.03,Instrumentos Financeiros Derivativos,7.993.382,887.255,641.008,,,
48,1.02.02.04,Vinculados ao Banco Central,4.058.191,0,0,,,
49,1.02.02.05,Moedas de Privatização,3.924,4.495,5.049,,,
50,1.02.02.06,Vinculados à Prestação de Garantias,5.643.818,168.281,1.840.157,,,
51,1.02.02.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,1.860.237,238.264,4.422.182,,,
52,1.02.03,Relações Interfinanceiras,201.382,1.263.430,1.195.577,,,
53,1.02.03.05,SFH - Sistema Financeiro da Habitação,201.382,1.263.430,1.195.577,,,
54,1.02.04,Relações Interdependências,,,,,,
55,1.02.05,Operações de Crédito,164.968.531,151.221.320,138.122.026,,,
56,1.02.05.01,Setor Público,4.000.000,4.000.000,4.000.000,,,
57,1.02.05.02,Setor Privado,169.675.742,152.736.738,139.215.307,,,
58,1.02.05.03,Operações de Crédito Vinculadas a Cessão,5.688.432,7.149.860,7.424.110,,,
59,1.02.05.04,Provisão para Operações de Crédito de Liquidação Duvidosa,-14.395.643,-12.665.278,-12.517.391,,,
60,1.02.06,Operações de Arrendamento Mercantil,-43,-146,-191,,,
61,1.02.06.02,Setor Privado,60,200,157,,,
62,1.02.06.03,Rendas a Apropriar de Arrendamento Mercantil,-60,-200,-157,,,
63,1.02.06.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-43,-146,-191,,,
64,1.02.07,Outros Créditos,46.569.256,45.822.712,35.086.546,,,
65,1.02.07.03,Rendas a Receber,,,,,,
66,1.02.07.04,Negociação e Intermediação de Valores,548.854,621.558,257.297,,,
67,1.02.07.08,Diversos,46.033.798,45.267.081,34.839.874,,,
68,1.02.07.09,Provisão para Outros Créditos de Liquidação Duvidosa,-13.396,-65.927,-10.625,,,
69,1.02.08,Outros Valores e Bens,131.553,201.716,614.616,,,
70,1.02.08.05,Despesas Antecipadas,131.553,201.716,614.616,,,
71,1.03,Ativo Permanente,141.455.116,122.073.605,116.791.944,,,
72,1.03.01,Investimentos,130.641.581,111.151.682,107.672.991,,,
73,1.03.01.01,Dependências no Exterior,,,,,,
74,1.03.01.02,Participações em Controladas,130.627.694,111.137.796,107.655.269,,,
75,1.03.01.02.01,No País,127.650.505,108.367.243,105.355.271,,,
76,1.03.01.02.02,No Exterior,2.977.189,2.770.553,2.299.998,,,
77,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
78,1.03.01.04,Outros Investimentos,23.756,23.754,67.803,,,
79,1.03.01.05,Provisão para Perdas,-9.869,-9.868,-50.081,,,
80,1.03.02,Imobilizado de Uso,5.214.653,4.565.834,4.467.165,,,
81,1.03.02.02,Imóveis de Uso,83.716,145.470,515.780,,,
82,1.03.02.03,Outras Imobilizações de Uso,10.820.391,10.195.492,8.968.142,,,
83,1.03.02.04,Depreciações Acumuladas,-5.689.454,-5.775.128,-5.016.757,,,
84,1.03.03,Imobilizado de Arrendamento,168,1.752,6.769,,,
85,1.03.03.01,Bens Arrendados,441,3.239,10.105,,,
86,1.03.03.02,Depreciações Acumuladas,-273,-1.487,-3.336,,,
87,1.03.04,Intangível,5.598.714,6.354.337,4.645.019,,,
88,1.03.04.01,Ativos Intangíveis,14.918.815,14.479.025,12.029.894,,,
89,1.03.04.02,Amortização Acumulada,-9.320.101,-8.124.688,-7.384.875,,,
90,1.03.05,Diferido,,,,,,
91,1.03.05.01,Gastos de Organização e Expansão,,,,,,
