,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
84,2.01.02,Captações no Mercado Aberto,30.417.440,20.711.138,24.549.546,,,
85,2.01.02.01,Carteira própria,9.170.806,6.704.550,6.778.680,,,
86,2.01.02.02,Carteira de terceiros,17.399.974,11.767.221,7.382.102,,,
87,2.01.02.03,Carteira de livre movimentação,3.846.660,2.239.367,10.388.764,,,
88,2.01.03,Recursos de Aceites e Emissão de Títulos,2.926.735,1.726.972,1.227.339,,,
89,2.01.03.01,Recursos de letras imobiliárias,1.758.467,1.542.091,1.227.339,,,
90,2.01.03.02,Obrigações por títulos e valores mobiliários no exterior,1.168.268,184.881,0,,,
91,2.01.04,Relações Interfinanceiras,389,30,1,,,
92,2.01.04.01,Recebimentos e pagamentos a liquidar,389,30,1,,,
93,2.01.05,Relações Interdependências,,,,,,
94,2.01.06,Obrigações por Empréstimos,1.394.768,875.094,470.256,,,
95,2.01.06.01,Empréstimos no exterior,1.394.768,875.094,470.256,,,
96,2.01.07,Obrigações por Repasse do País,8.527,41.497,55.653,,,
97,2.01.07.01,Instituições Oficiais,8.527,41.497,55.653,,,
98,2.01.08,Obrigações por Repasse do Exterior,,,,,,
99,2.01.09,Outras Obrigações,11.651.870,4.859.667,6.354.515,,,
100,2.01.09.01,Instrumentos financeiros derivativos,6.139.795,2.504.780,1.084.837,,,
101,2.01.09.02,Cobrança e arrecadação e assemelhados,4.222,2.047,19.265,,,
102,2.01.09.03,Carteira de câmbio,1.413.910,224.381,4.240.523,,,
103,2.01.09.04,Sociais e estatutárias,839.563,291.823,175.660,,,
104,2.01.09.05,Fiscais e previdenciárias,441.051,77.507,15.455,,,
105,2.01.09.06,Negociação e intermediação de valores,2.421.115,1.564.131,767.824,,,
106,2.01.09.07,Diversas,392.214,194.998,50.951,,,
107,2.02,Passivo Exigível a Longo Prazo,15.957.877,10.336.584,1.911.759,,,
108,2.02.01,Depósitos,1.755.806,2.715.694,1.158.736,,,
109,2.02.01.01,Depósitos a prazo,1.707.434,2.712.050,1.158.736,,,
110,2.02.01.02,Depósitos interfinanceiros,48.372,3.644,0,,,
111,2.02.02,Captações no Mercado Aberto,209.565,0,0,,,
