,Conta,Descrição,31/12/2014,31/12/2013,31/12/2012,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013,01/01/2012 a 31/12/2012
0,1,Ativo Total,152.774.811,114.825.435,86.720.231,,,
1,1.01,Ativo Circulante,113.685.159,88.847.217,72.857.865,,,
2,1.01.01,Disponibilidades,590.257,791.500,188.402,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,38.523.326,27.072.093,24.290.470,,,
4,1.01.02.01,Aplicações no mercado aberto,33.913.671,23.264.529,22.380.445,,,
5,1.01.02.02,Aplicações em depósitos interfinanceiros,4.609.655,3.807.564,1.910.025,,,
6,1.01.03,Títulos e Valores Mobiliários,45.562.656,37.515.129,38.997.680,,,
7,1.01.03.01,Carteira própria,18.385.437,20.161.272,22.361.124,,,
8,1.01.03.02,Vinculados a compromissos de recompra,1.961.591,9.636.015,9.191.601,,,
9,1.01.03.03,Instrumentos financeiros derivativos,23.351.175,3.228.102,6.004.493,,,
10,1.01.03.04,Vinculados à prestação de garantias,1.335.394,3.524.850,1.338.865,,,
11,1.01.03.05,Títulos objeto de operações compromissadas de livre movimentação,529.059,964.890,48.082,,,
12,1.01.03.06,Vinculados ao Banco Central,0,0,53.515,,,
13,1.01.04,Relações Interfinanceiras,1.144.756,238.065,473.130,,,
14,1.01.04.01,Créditos vinculados - Depósitos no Banco Central,1.144.674,237.821,472.502,,,
15,1.01.04.02,Correspondentes,82,244,628,,,
16,1.01.05,Relações Interdependências,,,,,,
17,1.01.06,Operações de Crédito,7.297.529,4.782.055,3.082.188,,,
18,1.01.06.01,Operações de crédito - setor privado,7.719.084,4.843.893,3.065.658,,,
19,1.01.06.02,Provisão para perdas em operações de crédito,-598.253,-61.838,-139.283,,,
20,1.01.06.03,Operações de crédito cedidas,176.698,0,155.813,,,
21,1.01.07,Operações de Arrendamento Mercantil,,,,,,
22,1.01.08,Outros Créditos,20.471.447,18.413.921,5.804.749,,,
23,1.01.08.01,Carteira de câmbio,9.273.814,13.023.154,1.952.190,,,
24,1.01.08.02,Rendas a receber,1.653.945,229.923,128.642,,,
25,1.01.08.03,Negociação e intermediação de valores,6.852.466,4.151.169,1.910.006,,,
26,1.01.08.04,Diversos,2.733.086,1.080.881,1.861.556,,,
27,1.01.08.05,Provisão para perdas em outros créditos,-41.864,-122.394,-47.823,,,
28,1.01.08.06,Créditos por avais ou Fianças,0,51.188,178,,,
29,1.01.09,Outros Valores e Bens,95.188,34.454,21.246,,,
30,1.01.09.01,Outros valores e bens,21.504,17.165,20.467,,,
31,1.01.09.02,Investimentos temporários,52.149,0,0,,,
32,1.01.09.03,Despesas antecipadas,32.719,25.476,11.459,,,
33,1.01.09.04,Provisão para desvalorização,-11.184,-8.187,-10.680,,,
34,1.02,Ativo Realizável a Longo Prazo,25.330.953,17.396.395,6.491.161,,,
35,1.02.01,Aplicações Interfinanceiras de Liquidez,89.979,102.180,873.021,,,
36,1.02.01.01,Aplicações no mercado aberto,76.782,50.863,865.209,,,
37,1.02.01.02,Aplicações em depósitos interfinanceiros,13.197,51.317,7.812,,,
38,1.02.02,Títulos e Valores Mobiliários,12.575.425,2.622.906,250.326,,,
