,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
0,1,Ativo Total,838.535.727,779.011.514,684.614.027,,,
1,1.01,Ativo Circulante,504.910.723,495.071.546,378.400.031,,,
2,1.01.01,Disponibilidades,9.543.649,11.358.459,11.148.561,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,82.235.455,86.464.685,71.055.301,,,
4,1.01.02.01,Aplicações no Mercado Aberto,28.703.365,45.325.687,34.414.303,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,43.230.118,33.270.931,27.226.866,,,
6,1.01.02.03,Aplicações em Moedas Estrangeiras,10.301.972,7.868.067,9.414.132,,,
7,1.01.03,Títulos e Valores Mobiliários,61.649.371,77.244.185,59.009.344,,,
8,1.01.03.01,Carteira Própria,27.746.398,36.212.955,21.749.034,,,
9,1.01.03.02,Vinculados a Compromisso de Recompra,26.824.877,36.382.807,28.459.543,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,2.653.751,4.109.455,6.059.567,,,
11,1.01.03.05,Vinculados ao Banco Central,0,5.071,8.803,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,456.012,533.230,2.731.670,,,
13,1.01.03.07,Moedas de Privatização,512,667,727,,,
14,1.01.03.08,Títulos de Objetos de Operações Compromissadas com Livre Movimentação,3.967.821,0,0,,,
15,1.01.04,Relações Interfinanceiras,78.178.662,79.563.879,69.209.753,,,
16,1.01.04.01,Pagamentos e Recebimentos a Liquidar,9.027.921,9.902.862,6.577.308,,,
17,1.01.04.02,Depósitos no Banco Central,69.121.095,69.625.795,62.384.107,,,
18,1.01.04.03,SFH - Sistema Financeiro da Habitação,156,175,2.326,,,
19,1.01.04.04,Repasses Interfinanceiros,7.854,13.187,227.630,,,
20,1.01.04.05,Correspondentes,21.636,21.860,18.382,,,
21,1.01.05,Relações Interdependências,,,,,,
22,1.01.06,Operações de Crédito,83.319.998,74.689.851,70.472.211,,,
23,1.01.06.01,Setor Público,153.586,162,11.926,,,
24,1.01.06.02,Setor Privado,86.455.503,78.890.129,73.988.046,,,
25,1.01.06.03,Operações de Crédito Vinculados a Cessão,,,,,,
