,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
83,1.03.05,Diferido,,,,,,
84,1.03.05.01,Gastos de Organização e Expansão,,,,,,
85,1.03.05.02,(Amortização Acumulada),,,,,,
86,2,Passivo Total,9.358.796,9.488.588,10.000.782,,,
87,2.01,Passivo Circulante,2.371.541,2.459.127,2.748.476,,,
88,2.01.01,Depósitos,1.504.457,1.276.088,1.771.213,,,
89,2.01.01.01,Depósitos à Vista,277.651,262.488,318.248,,,
90,2.01.01.02,Depósitos de Poupança,194.471,179.484,210.039,,,
91,2.01.01.03,Depósitos Interfinanceiros,28.060,50.862,37.007,,,
92,2.01.01.04,Depósitos a Prazo,1.004.275,783.254,1.205.919,,,
93,2.01.02,Captações no Mercado Aberto,124.487,250.191,315.884,,,
94,2.01.02.01,Carteira de Terceiros,124.487,250.191,315.884,,,
95,2.01.03,Recursos de Aceites e Emissão de Títulos,207.744,382.326,142.387,,,
96,2.01.03.01,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",207.744,382.326,142.364,,,
97,2.01.03.02,Obrigações por Títulos e Valores Mobiliários no Exterior,0,0,23,,,
98,2.01.04,Relações Interfinanceiras,5,160,73,,,
99,2.01.04.01,Recebimentos e Pagamentos a Liquidar,5,160,73,,,
100,2.01.05,Relações Interdependências,23.086,27.489,36.128,,,
101,2.01.05.01,Recursos em Trânsito de Terceiros,23.086,27.489,36.128,,,
102,2.01.06,Obrigações por Empréstimos,,,,,,
103,2.01.06.01,Empréstimos no Exterior,,,,,,
104,2.01.07,Obrigações por Repasse do País,0,1.861,0,,,
105,2.01.07.01,Outras Instituições,0,1.861,0,,,
106,2.01.08,Obrigações por Repasse do Exterior,,,,,,
107,2.01.09,Outras Obrigações,511.762,521.012,482.791,,,
108,2.01.09.01,Cobrança e Arrecadação de Tributos e Assemelhados,3.268,4.131,3.189,,,
109,2.01.09.02,Câmbio Vendido a Liquidar,105,4,0,,,
110,2.01.09.03,Obrigações por Compra de Câmbio,55.777,84.009,45.484,,,
111,2.01.09.04,(Adiantamentos sobre Contratos de Câmbio),-55.583,-84.009,-45.484,,,
112,2.01.09.05,Sociais e Estatutárias,18.491,17.395,10.785,,,
113,2.01.09.06,Fiscais e Previdenciárias,29.128,25.779,28.362,,,
