,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
159,3.02,Despesas da Intermediação Financeira,,,,-810.510,-847.349,-661.605
160,3.02.01,Operações de Captação no Mercado,,,,-636.109,-710.940,-591.356
161,3.02.02,Operações de Empréstimos e Repasses,,,,-8.826,-10.107,-9.529
162,3.02.03,"Provisão para Perdas em Operações de Crédito, Arrendamento Mercantil e Outros Créditos",,,,-165.575,-126.302,-60.720
163,3.03,Resultado Bruto Intermediação Financeira,,,,416.960,399.607,484.082
164,3.04,Outras Despesas/Receitas Operacionais,,,,-305.904,-271.319,-231.957
165,3.04.01,Receitas de Prestação de Serviços,,,,203.962,196.113,190.237
166,3.04.02,Despesas de Pessoal,,,,-228.302,-206.146,-187.646
167,3.04.03,Outras Despesas Administrativas,,,,-203.208,-189.755,-178.228
168,3.04.04,Despesas Tributárias,,,,-47.828,-44.117,-44.786
169,3.04.05,Outras Receitas Operacionais,,,,23.000,26.387,50.067
170,3.04.06,Outras Despesas Operacionais,,,,-68.043,-58.981,-76.284
171,3.04.07,Resultado da Equivalência Patrimonial,,,,14.515,5.180,14.683
172,3.05,Resultado Operacional,,,,111.056,128.288,252.125
173,3.06,Resultado Não Operacional,,,,1.009,-457,6.731
174,3.06.01,Receitas,,,,4.061,2.602,13.020
175,3.06.02,Despesas,,,,-3.052,-3.059,-6.289
176,3.07,Resultado Antes Tributação/Participações,,,,112.065,127.831,258.856
177,3.08,Provisão para IR e Contribuição Social,,,,-17.114,-26.777,-77.891
178,3.08.01,Provisão para Imposto de Renda - Valores Correntes,,,,-21.771,-10.509,-23.420
179,3.08.02,Provisão para Imposto de Renda - Valores Diferidos,,,,-603,-472,-4.401
180,3.08.03,Provisão para Contribuição Social - Valores Correntes,,,,-9.959,-6.776,-16.864
181,3.08.04,Ativo Fiscal Diferido - Imposto de Renda,,,,12.194,-5.499,-20.260
182,3.08.05,Ativo Fiscal Diferido - Contribuição Social,,,,3.025,-3.521,-12.946
183,3.09,IR Diferido,,,,,,
184,3.10,Participações/Contribuições Estatutárias,,,,-13.556,-13.162,-13.942
185,3.10.01,Participações,,,,-13.556,-13.162,-13.942
186,3.10.02,Contribuições,,,,,,
187,3.11,Reversão dos Juros sobre Capital Próprio,,,,,,
188,3.13,Lucro/Prejuízo do Período,,,,81.395,87.892,167.023
189,3.99,Lucro por Ação - (R$ / Ação),,,,000005,058019,110254
