,Conta,Descrição,31/12/2011,31/12/2010,31/12/2009,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
95,2.05.04.02.01,Para Pagamento de Dividendos,2.8169999999999997,2.496,2.337,,,
96,2.05.04.02.02,Para Aumento de Capital,20.941999999999997,17.997,18.096,,,
97,2.05.04.03,Para Contingências,,,,,,
98,2.05.04.04,De Lucros a Realizar,,,,,,
99,2.05.04.05,Retenção de Lucros,,,,,,
100,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
101,2.05.04.07,Outras Reservas de Lucro,,,,,,
102,2.05.04.07.01,Reservas Especiais de Lucro,,,,,,
103,2.05.05,Ajustes de Avaliação Patrimonial,,,,,,
104,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,,,,,,
105,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
106,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
107,2.05.06,Lucros/Prejuízos Acumulados,,,,,,
108,3.01,Receitas da Intermediação Financeira,,,,116.512,168.812,160.849
109,3.01.01,Operações de Crédito,,,,21.686,16.235,16.063
110,3.01.02,Resultado de Operações com Títulos e Valores Mobiliários,,,,94.82600000000001,152.577,144.786
111,3.02,Despesas da Intermediação Financeira,,,,-102.57,-158.86,-148.761
112,3.02.01,Operações de Captação no Mercado,,,,-102.542,-157.591,-147.123
113,3.02.02,Provisão para Operações de Créditos de Liquidação Duvidosa,,,,-28.0,-1.2690000000000001,-1.6380000000000001
114,3.03,Resultado Bruto Intermediação Financeira,,,,13.942,9.952,12.088
115,3.04,Outras Despesas/Receitas Operacionais,,,,-6.255,-6.482,-6.082999999999999
116,3.04.01,Receitas de Prestação de Serviços,,,,29.0,42.0,39.0
117,3.04.02,Despesas de Pessoal,,,,-590.0,-342.0,-297.0
118,3.04.03,Outras Despesas Administrativas,,,,-5.159,-6.834,-5.629
119,3.04.04,Despesas Tributárias,,,,-586.0,-526.0,-567.0
120,3.04.05,Outras Receitas Operacionais,,,,547.0,1.466,583.0
121,3.04.05.01,Recuperação de Encargos e Despesas,,,,0.0,13.0,5.0
122,3.04.05.02,Reversão de Provisões Operacionais,,,,1.0,3.0,15.0
123,3.04.05.03,Variações Monetárias Ativas,,,,263.0,347.0,453.0
124,3.04.05.04,Outras Receitas,,,,283.0,1.103,110.0
125,3.04.06,Outras Despesas Operacionais,,,,-496.0,-288.0,-212.0
126,3.04.06.01,Aprovisionamentos e Ajustes Patrimoniais,,,,-228.0,-21.0,-8.0
127,3.04.06.02,Descontos Concedidos,,,,-212.0,0.0,-128.0
128,3.04.06.03,Variações Monetárias Passivas,,,,0.0,0.0,-4.0
129,3.04.06.04,Contratos de Gestão de Negócios,,,,,,
130,3.04.06.05,Despesas de Caráter Eventual,,,,-41.0,-181.0,-41.0
131,3.04.06.06,Outras Despesas,,,,-15.0,-86.0,-31.0
132,3.04.07,Resultado da Equivalência Patrimonial,,,,,,
133,3.05,Resultado Operacional,,,,7.687,3.47,6.005
134,3.06,Resultado Não Operacional,,,,-16.0,1.0,13.0
135,3.06.01,Receitas,,,,1.0,3.0,14.0
136,3.06.02,Despesas,,,,-17.0,-2.0,-1.0
137,3.07,Resultado Antes Tributação/Participações,,,,7.671,3.471,6.018
138,3.08,Provisão para IR e Contribuição Social,,,,-2.31,-827.0,-1.758
139,3.08.01,Provisão para Imposto de Renda,,,,-982.0,-316.0,-856.0
140,3.08.02,Provisão para Contribuição Social,,,,-1.0759999999999998,-251.0,-746.0
141,3.08.03,Ativo Fiscal Diferido,,,,-252.0,-260.0,-156.0
142,3.09,IR Diferido,,,,,,
143,3.10,Participações/Contribuições Estatutárias,,,,,,
144,3.10.01,Participações,,,,,,
145,3.10.02,Contribuições,,,,,,
146,3.11,Reversão dos Juros sobre Capital Próprio,,,,,,
147,3.13,Lucro/Prejuízo do Período,,,,5.361000000000001,2.6439999999999997,4.26
148,3.99,Lucro por Ação - (R$ / Ação),,,,0.0,1449.0,2334.0
