,Conta,Descrição,31/12/2011,31/12/2010,30/11/2010,01/01/2011 a 31/12/2011,01/12/2010 a 31/12/2010,29/11/2010 a 30/11/2010
0,1,Ativo Total,12.010.952,11.563.122,11.166.872,,,
1,1.01,Ativo Circulante,3.948.060,4.474.830,5.150.692,,,
2,1.01.01,Disponibilidades,24.494,7.560,6.560,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,1.063.431,1.067.900,1.729.656,,,
4,1.01.02.01,Aplicações no mercado aberto,639.461,210.769,711.228,,,
5,1.01.02.02,Aplicações em depósitos interfinanceiros,423.970,857.131,1.018.428,,,
6,1.01.03,Títulos e Valores Mobiliários,26.488,24.297,359.539,,,
7,1.01.03.01,Carteira própria,771,19.847,321.124,,,
8,1.01.03.02,Vinculados a compromissos de recompra,0,0,33.102,,,
9,1.01.03.03,Instrumentos financeiros e derivativos,25.451,4.450,5.313,,,
10,1.01.03.04,Vinculados a prestação de garantias,266,0,0,,,
11,1.01.04,Relações Interfinanceiras,10.931,2.151,17.842,,,
12,1.01.04.01,Pagamentos e recebimentos a liquidar,0,0,9.394,,,
13,1.01.04.02,Créditos vinculados - depósitos no Banco Central,936,831,804,,,
14,1.01.04.03,Correspondentes no país,9.995,1.320,7.644,,,
15,1.01.05,Relações Interdependências,0,911,1.831,,,
16,1.01.05.01,Transferências internas de recursos,0,911,1.831,,,
17,1.01.06,Operações de Crédito,1.827.357,2.044.236,1.947.752,,,
18,1.01.06.01,Operações de crédito - setor privado,2.337.740,2.973.783,2.942.585,,,
19,1.01.06.02,(Provisão para créditos de liquidação duvidosa),-510.383,-929.547,-994.833,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,914.540,1.190.647,968.839,,,
22,1.01.08.01,Carteira de câmbio,71.051,0,0,,,
23,1.01.08.02,Rendas a receber,8.568,5.491,5.544,,,
24,1.01.08.03,Negociação e intermediação de valores,969,18.966,114,,,
25,1.01.08.04,Diversos,437.772,643.499,505.929,,,
26,1.01.08.05,Titulos e créditos a receber,472.239,546.848,479.838,,,
27,1.01.08.06,(Provisão para outros créditos de liquidação duvidosa),-76.059,-24.157,-22.586,,,
28,1.01.09,Outros Valores e Bens,80.819,137.128,118.673,,,
29,1.01.09.01,Outros valores e bens,105.749,192.657,199.198,,,
30,1.01.09.02,(Provisão para desvalorização),-72.365,-117.022,-120.822,,,
31,1.01.09.03,Despesas antecipadas,47.435,61.493,40.297,,,
32,1.02,Ativo Realizável a Longo Prazo,7.807.137,6.833.077,5.738.338,,,
33,1.02.01,Aplicações Interfinanceiras de Liquidez,451.696,526.165,146.356,,,
34,1.02.01.01,Aplicações em depósitos interfinanceiros,451.696,526.165,146.356,,,
35,1.02.02,Títulos e Valores Mobiliários,1.919.483,1.549.780,1.369.914,,,
36,1.02.02.01,Carteira própria,1.211.802,1.430.822,1.286.712,,,
37,1.02.02.02,Vinculados a compromissos de recompra,565.205,114.681,66.239,,,
38,1.02.02.03,Instrumentos financeiros derivativos,102.208,4.277,16.963,,,
39,1.02.02.04,Vinculados a prestação de garantias,40.268,0,0,,,
40,1.02.03,Relações Interfinanceiras,,,,,,
41,1.02.04,Relações Interdependências,,,,,,
42,1.02.05,Operações de Crédito,3.066.995,3.316.821,2.844.587,,,
43,1.02.05.01,Operações de crédito - setor privado,3.212.508,3.316.821,2.844.587,,,
44,1.02.05.02,(Provisão para créditos de liquidação duvidosa),-145.513,0,0,,,
45,1.02.06,Operações de Arrendamento Mercantil,,,,,,
46,1.02.07,Outros Créditos,2.218.619,1.339.990,1.270.832,,,
47,1.02.07.01,Carteira de câmbio,10.083,0,0,,,
48,1.02.07.02,Diversos,2.208.536,1.339.990,1.270.832,,,
49,1.02.08,Outros Valores e Bens,150.344,100.321,106.649,,,
50,1.02.08.01,Despesas antecipadas,150.344,100.321,106.649,,,
51,1.03,Ativo Permanente,255.755,255.215,277.842,,,
52,1.03.01,Investimentos,238.926,238.791,262.153,,,
53,1.03.01.01,Dependências no Exterior,,,,,,
54,1.03.01.02,Participações em Controladas,238.466,238.338,261.700,,,
55,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
56,1.03.01.04,Outros Investimentos,460,453,453,,,
57,1.03.01.05,Provisão para Perdas,,,,,,
58,1.03.02,Imobilizado de Uso,6.435,8.702,8.520,,,
59,1.03.02.01,Outras imobilizações de uso,35.775,38.047,37.961,,,
60,1.03.02.02,Depreciações acumuladas,-29.340,-29.345,-29.441,,,
61,1.03.03,Imobilizado de Arrendamento,,,,,,
62,1.03.04,Intangível,10.394,7.722,7.169,,,
63,1.03.04.01,Ativos intangiveis,19.402,14.579,13.865,,,
64,1.03.04.02,(Amortização acumuladas),-9.008,-6.857,-6.696,,,
65,1.03.05,Diferido,,,,,,
66,2,Passivo Total,12.010.952,11.563.122,11.166.872,,,
67,2.01,Passivo Circulante,5.965.122,6.354.922,5.883.917,,,
68,2.01.01,Depósitos,3.723.375,3.270.878,3.069.016,,,
