,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,1.053.117.128,1.081.616.451,947.122.904,,,
1,1.01,Ativo Circulante,539.676.344,523.119.746,484.078.330,,,
2,1.01.01,Disponibilidades,14.738.357,14.283.454,16.899.827,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,197.288.212,221.412.529,187.944.127,,,
4,1.01.02.01,Aplicações no Mercado Aberto,144.359.244,169.631.180,130.148.959,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,52.934.861,51.781.349,57.830.003,,,
6,1.01.02.05,Provisões para Perdas,-5.893,0,-34.835,,,
7,1.01.03,Títulos e Valores Mobiliários,94.259.311,63.156.422,75.424.381,,,
8,1.01.03.01,Carteira Própria,26.432.962,23.896.136,16.886.041,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,45.754.467,16.088.021,36.779.746,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,13.143.479,15.614.387,13.181.624,,,
11,1.01.03.04,Vinculados ao Banco Central,0,53.844,22.065,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,8.339.569,5.620.230,4.015.263,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,588.834,1.883.804,4.539.642,,,
14,1.01.04,Relações Interfinanceiras,66.725.598,57.998.881,53.844.021,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,65.320,22.015,73.764,,,
16,1.01.04.02,Depósitos no Banco Central,66.637.298,57.960.496,53.764.148,,,
17,1.01.04.05,SFH - Sistema Financeiro da Habitação,21.760,14.388,5.357,,,
18,1.01.04.07,Correspondentes,1.220,1.982,752,,,
19,1.01.05,Relações Interdependências,262.739,156.433,248.477,,,
20,1.01.05.02,Transferências Internas de Recursos,262.739,156.433,248.477,,,
21,1.01.06,Operações de Crédito,104.809.579,117.514.883,110.326.747,,,
22,1.01.06.01,Setor Público,158.168,311.129,2.320.680,,,
23,1.01.06.02,Setor Privado,119.232.300,133.047.172,122.523.622,,,
24,1.01.06.03,Operações de Crédito Vinculadas a Cessão,1.031.500,806.649,120.130,,,
25,1.01.06.04,Provisão para Operações de Crédito de Liquidação Duvidosa,-15.612.389,-16.650.067,-14.637.685,,,
26,1.01.07,Operações de Arrendamento Mercantil,-78,-151,-483,,,
27,1.01.07.02,Setor Privado,242,145,713,,,
28,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-224,-145,-713,,,
29,1.01.07.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-96,-151,-483,,,
30,1.01.08,Outros Créditos,57.867.210,46.314.003,37.135.643,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,128.392,1.377.161,104.099,,,
32,1.01.08.02,Carteira de Câmbio,17.469.599,17.630.927,14.369.499,,,
33,1.01.08.03,Rendas a Receber,3.778.175,3.213.963,5.281.602,,,
34,1.01.08.04,Negociação e Intermediação de Valores,521.108,821.436,931.814,,,
35,1.01.08.08,Diversos,37.027.521,25.341.796,16.937.619,,,
36,1.01.08.09,Provisão para Outros Créditos de Liquidação Duvidosa,-1.057.585,-2.071.280,-488.990,,,
37,1.01.09,Outros Valores e Bens,3.725.416,2.283.292,2.255.590,,,
38,1.01.09.03,Outros Valores e Bens,2.421.242,2.271.168,1.586.997,,,
39,1.01.09.04,Provisões para Desvalorizações,-1.113.782,-935.987,-571.003,,,
40,1.01.09.05,Despesas Antecipadas,2.417.956,948.111,1.239.596,,,
41,1.02,Ativo Realizável a Longo Prazo,396.648.840,450.362.632,384.788.106,,,
42,1.02.01,Aplicações Interfinanceiras de Liquidez,23.895.603,24.746.078,23.165.420,,,
43,1.02.01.02,Aplicações em Depósitos Interfinanceiros,23.895.603,24.746.078,23.165.420,,,
44,1.02.02,Títulos e Valores Mobiliários,197.734.663,240.752.821,179.808.555,,,
45,1.02.02.01,Carteira Própria,61.926.581,49.104.098,32.743.895,,,
46,1.02.02.02,Vinculados a Compromissos de Recompra,128.899.686,179.764.678,143.863.342,,,
47,1.02.02.03,Instrumentos Financeiros Derivativos,641.008,98.078,88.945,,,
48,1.02.02.04,Vinculados ao Banco Central,,,,,,
49,1.02.02.05,Moedas de Privatização,5.049,5.571,6.001,,,
50,1.02.02.06,Vinculados à Prestação de Garantias,1.840.157,5.445.238,2.528.345,,,
51,1.02.02.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,4.422.182,6.335.158,578.027,,,
52,1.02.03,Relações Interfinanceiras,1.195.577,778.254,680.860,,,
53,1.02.03.05,SFH - Sistema Financeiro da Habitação,1.195.577,778.254,680.860,,,
54,1.02.04,Relações Interdependências,,,,,,
55,1.02.05,Operações de Crédito,138.122.026,145.455.442,140.255.367,,,
56,1.02.05.01,Setor Público,4.000.000,3.000.000,3.000.000,,,
57,1.02.05.02,Setor Privado,139.215.307,145.100.677,137.991.412,,,
58,1.02.05.03,Operações de Crédito Vinculadas a Cessão,7.424.110,7.955.849,7.390.609,,,
59,1.02.05.04,Provisão para Operações de Crédito de Liquidação Duvidosa,-12.517.391,-10.601.084,-8.126.654,,,
60,1.02.06,Operações de Arrendamento Mercantil,-191,-3,-43,,,
61,1.02.06.02,Setor Privado,157,109,322,,,
62,1.02.06.03,Rendas a Apropriar de Arrendamento Mercantil,-157,-76,-243,,,
63,1.02.06.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-191,-36,-122,,,
64,1.02.07,Outros Créditos,35.086.546,37.682.578,40.766.786,,,
65,1.02.07.03,Rendas a Receber,0,0,251.977,,,
66,1.02.07.04,Negociação e Intermediação de Valores,257.297,478.290,1.067.781,,,
67,1.02.07.08,Diversos,34.839.874,37.220.391,39.474.512,,,
68,1.02.07.09,Provisão para Outros Créditos de Liquidação Duvidosa,-10.625,-16.103,-27.484,,,
69,1.02.08,Outros Valores e Bens,614.616,947.462,111.161,,,
70,1.02.08.05,Despesas Antecipadas,614.616,947.462,111.161,,,
71,1.03,Ativo Permanente,116.791.944,108.134.073,78.256.468,,,
72,1.03.01,Investimentos,107.672.991,99.112.893,70.605.645,,,
73,1.03.01.01,Dependências no Exterior,,,,,,
74,1.03.01.02,Participações em Controladas,107.655.269,99.094.670,70.597.294,,,
75,1.03.01.02.01,No País,105.355.271,96.926.003,68.090.691,,,
76,1.03.01.02.02,No Exterior,2.299.998,2.168.667,2.506.603,,,
77,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
78,1.03.01.04,Outros Investimentos,67.803,68.304,51.920,,,
79,1.03.01.05,Provisão para Perdas,-50.081,-50.081,-43.569,,,
80,1.03.02,Imobilizado de Uso,4.467.165,4.578.415,3.125.193,,,
81,1.03.02.02,Imóveis de Uso,515.780,669.618,17.414,,,
82,1.03.02.03,Outras Imobilizações de Uso,8.968.142,8.364.374,7.257.441,,,
83,1.03.02.04,Depreciações Acumuladas,-5.016.757,-4.455.577,-4.149.662,,,
84,1.03.03,Imobilizado de Arrendamento,6.769,26.968,65.027,,,
85,1.03.03.01,Bens Arrendados,10.105,51.071,122.058,,,
86,1.03.03.02,Depreciações Acumuladas,-3.336,-24.103,-57.031,,,
87,1.03.04,Intangível,4.645.019,4.415.797,4.460.603,,,
88,1.03.04.01,Ativos Intangíveis,12.029.894,12.317.242,10.223.420,,,
89,1.03.04.02,Amortização Acumulada,-7.384.875,-7.901.445,-5.762.817,,,
90,1.03.05,Diferido,,,,,,
91,1.03.05.01,Gastos de Organização e Expansão,,,,,,
92,1.03.05.02,Amortização Acumulada,,,,,,
93,2,Passivo Total,1.053.117.128,1.081.616.451,947.122.904,,,
94,2.01,Passivo Circulante,680.153.391,718.065.645,619.039.916,,,
95,2.01.01,Depósitos,189.701.572,189.449.882,200.192.100,,,
96,2.01.01.01,Depósitos à Vista,33.549.874,32.548.413,22.538.282,,,
97,2.01.01.02,Depósitos de Poupança,103.332.697,97.088.828,91.878.816,,,
98,2.01.01.03,Depósitos Interfinanceiros,23.317.885,26.968.249,47.066.280,,,
99,2.01.01.04,Depósitos a Prazo,29.501.116,32.844.392,38.708.722,,,
100,2.01.02,Captações no Mercado Aberto,318.954.150,342.193.210,286.839.492,,,
101,2.01.02.01,Carteira Própria,169.414.655,164.678.836,152.636.473,,,
102,2.01.02.02,Carteira de Terceiros,140.825.872,167.967.767,128.638.331,,,
103,2.01.02.03,Carteira Livre Movimentação,8.713.623,9.546.607,5.564.688,,,
104,2.01.03,Recursos de Aceites e Emissão de Títulos,83.107.043,92.432.728,53.138.708,,,
105,2.01.03.03,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",81.959.214,88.688.899,48.794.240,,,
106,2.01.03.05,Obrigações por Títulos e Valores Mobiliários no Exterior,970.705,3.331.680,3.981.183,,,
107,2.01.03.06,Certificados de Operações Estruturadas,177.124,412.149,363.285,,,
108,2.01.04,Relações Interfinanceiras,2.125.064,2.024.015,1.267.083,,,
109,2.01.04.03,Recebimentos e Pagamentos a Liquidar,798.092,786.602,151.460,,,
110,2.01.04.04,Correspondentes,1.326.972,1.237.413,1.115.623,,,
111,2.01.05,Relações Interdependências,5.714.923,5.726.950,5.157.364,,,
112,2.01.05.01,Recursos em Trânsito de Terceiros,5.714.923,5.726.950,5.157.364,,,
113,2.01.05.02,Transferências Internas de Recursos,,,,,,
114,2.01.06,Obrigações por Empréstimos,16.974.049,19.217.594,23.075.191,,,
115,2.01.06.03,Empréstimos no Exterior,16.974.049,19.217.594,23.075.191,,,
116,2.01.07,Obrigações por Repasse do País,11.037.386,11.191.120,12.004.314,,,
117,2.01.07.01,Tesouro Nacional,97.200,166.565,133.028,,,
118,2.01.07.03,BNDES,5.039.056,3.800.239,3.801.626,,,
119,2.01.07.05,FINAME,5.900.940,7.224.048,8.060.599,,,
120,2.01.07.06,Outras Instituições,190,268,9.061,,,
121,2.01.08,Obrigações por Repasse do Exterior,0,0,2.502,,,
122,2.01.09,Outras Obrigações,52.539.204,55.830.146,37.363.162,,,
123,2.01.09.01,Cobrança e Arrecadação de Tributos e Assemelhados,981.942,591.205,480.707,,,
124,2.01.09.02,Carteira de Câmbio,7.654.619,8.759.475,5.617.070,,,
125,2.01.09.03,Sociais e Estatutárias,4.431.314,4.586.331,3.713.302,,,
126,2.01.09.04,Fiscais e Previdenciárias,818.910,980.303,857.600,,,
127,2.01.09.05,Negociação e Intermediação de Valores,290.701,675.998,701.629,,,
128,2.01.09.08,Fundos Financeiros e de Desenvolvimento,0,2.381,4.152,,,
129,2.01.09.11,Dívidas Subordinadas,10.821.546,11.417.346,495.275,,,
130,2.01.09.13,Instrumentos Financeiros Derivativos,13.158.700,12.075.991,13.704.940,,,
131,2.01.09.15,Diversas,14.381.472,16.741.116,11.788.487,,,
132,2.02,Passivo Exigível a Longo Prazo,262.404.103,262.981.893,239.062.288,,,
133,2.02.01,Depósitos,106.620.820,72.799.021,42.984.125,,,
134,2.02.01.03,Depósitos Interfinanceiros,8.805.495,1.219.795,823.735,,,
135,2.02.01.04,Depósitos a Prazo,97.815.325,71.579.226,42.160.390,,,
136,2.02.02,Captações no Mercado Aberto,6.503.654,28.357.746,26.972.408,,,
137,2.02.02.01,Carteira Própria,6.503.654,28.357.746,26.972.408,,,
138,2.02.03,Recursos de Aceites e Emissão de Títulos,67.389.171,74.426.327,70.097.185,,,
139,2.02.03.03,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",65.069.787,71.881.204,64.435.698,,,
140,2.02.03.05,Obrigações por Títulos e Valores Mobiliários no Exterior,2.128.023,2.512.104,5.512.429,,,
141,2.02.03.06,Certificados de Operações Estruturadas,191.361,33.019,149.058,,,
142,2.02.04,Relações Interfinanceiras,,,,,,
143,2.02.05,Relações Interdependências,,,,,,
144,2.02.06,Obrigações por Empréstimos,1.241.998,2.349.300,6.930.766,,,
145,2.02.06.03,Empréstimos no Exterior,1.241.998,2.349.300,6.930.766,,,
146,2.02.07,Obrigações por Repasse do País,19.710.804,24.797.430,26.118.444,,,
147,2.02.07.03,BNDES,8.753.797,10.914.430,8.607.769,,,
148,2.02.07.05,FINAME,10.957.007,13.883.000,17.510.675,,,
149,2.02.07.06,Outras Instituições,,,,,,
150,2.02.08,Obrigações por Repasse do Exterior,,,,,,
151,2.02.09,Outras Obrigações,60.937.656,60.252.069,65.959.360,,,
152,2.02.09.04,Fiscais e Previdenciárias,1.793.516,940.689,3.638.101,,,
153,2.02.09.11,Dívidas Subordinadas,16.241.102,26.251.948,38.370.136,,,
154,2.02.09.12,Instrumentos de Dívidas Elegíveis a Capital,23.129.838,14.959.571,11.444.939,,,
155,2.02.09.13,Instrumentos Financeiros Derivativos,426.390,174.543,50.836,,,
156,2.02.09.15,Diversas,19.346.810,17.925.318,12.455.348,,,
157,2.03,Resultados de Exercícios Futuros,102.158,126.500,114.056,,,
158,2.05,Patrimônio Líquido,110.457.476,100.442.413,88.906.644,,,
159,2.05.01,Capital Social Realizado,59.100.000,51.100.000,43.100.000,,,
160,2.05.01.01,De Domiciliados no País,58.361.598,50.461.644,45.521.283,,,
161,2.05.01.02,De Domiciliados no Exterior,738.402,638.356,578.717,,,
162,2.05.01.03,Capital a Realizar,0,0,-3.000.000,,,
163,2.05.02,Reservas de Capital,11.441,11.441,11.441,,,
164,2.05.02.01,Ágio por Subscrição de Ações,11.441,11.441,11.441,,,
165,2.05.03,Reservas de Reavaliação,,,,,,
166,2.05.03.01,Ativos Próprios,,,,,,
167,2.05.03.02,Controladas/Coligadas e Equiparadas,,,,,,
168,2.05.04,Reservas de Lucro,49.461.499,50.008.088,49.909.758,,,
169,2.05.04.01,Legal,7.540.015,6.807.128,6.052.949,,,
170,2.05.04.02,Estatutária,42.361.998,43.641.474,44.287.857,,,
171,2.05.04.03,Para Contingências,,,,,,
172,2.05.04.04,De Lucros a Realizar,,,,,,
173,2.05.04.05,Retenção de Lucros,,,,,,
174,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
175,2.05.04.07,Outras Reservas de Lucro,-440.514,-440.514,-431.048,,,
176,2.05.04.07.03,Ações em Tesouraria,-440.514,-440.514,-431.048,,,
177,2.05.05,Ajustes de Avaliação Patrimonial,1.884.536,-677.116,-4.114.555,,,
178,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,,,,,,
179,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
180,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
181,2.05.06,Lucros/Prejuízos Acumulados,,,,,,
182,3.01,Receitas da Intermediação Financeira,,,,117.792.441,137.790.083,110.968.415
183,3.01.01,Operações de Crédito,,,,56.932.793,58.625.693,52.664.389
184,3.01.02,Operações de Arrendamento Mercantil,,,,27.924,49.890,100.309
185,3.01.03,Resultado de Operações com Títulos e Valores Mobiliários,,,,51.881.078,61.220.923,56.378.759
186,3.01.04,Resultado com Instrumentos Financeiros Derivativos,,,,2.080.843,15.806.590,-7.591.762
