,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,11.824.869,12.655.017,13.463.359,,,
1,1.01,Ativo Circulante,7.146.064,7.668.090,8.915.470,,,
2,1.01.01,Disponibilidades,426.941,274.807,211.576,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,2.319.235,2.536.788,3.641.018,,,
4,1.01.02.01,Aplicações no Mercado Aberto,1.902.597,2.123.877,2.326.089,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,416.638,412.911,1.314.929,,,
6,1.01.03,Títulos e Valores Mobiliários,18.640,232.270,137.168,,,
7,1.01.03.01,Carteira Própria,2.082,208.112,109.624,,,
8,1.01.03.02,Instrumentos Financeiros Derivativos,16.558,10.979,6.220,,,
9,1.01.03.03,Vinculados à Prestação de Garantias,0,13.179,21.324,,,
10,1.01.04,Relações Interfinanceiras,194.913,320.079,245.030,,,
11,1.01.04.01,Pagamentos e Recebimentos a Liquidar,50,43,119,,,
12,1.01.04.02,Créditos Vinculados - Depósitos no Banco Central,194.845,320.018,243.139,,,
13,1.01.04.03,Correspondentes,18,18,1.772,,,
14,1.01.05,Relações Interdependências,5.480,5.374,7.818,,,
15,1.01.05.01,Transferências Internas de Recursos,5.480,5.374,7.818,,,
16,1.01.06,Operações de Crédito,3.288.367,3.662.642,4.012.793,,,
17,1.01.06.01,Setor Privado,3.387.293,3.674.229,3.846.649,,,
18,1.01.06.02,Operações de Crédito Vinculadas a Cessão,335.013,426.696,519.215,,,
19,1.01.06.03,(Provisão para Operações de Crédito de Liquidação Duvidosa),-433.939,-438.283,-353.071,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,726.941,493.441,535.418,,,
22,1.01.08.01,Câmbio Comprado a Liquidar,77.484,70.241,65.597,,,
23,1.01.08.02,Direitos sobre Vendas de Câmbio,4,924,7,,,
24,1.01.08.03,(Adiantamentos em Moeda Nacional Recebidos),-4,-924,-7,,,
25,1.01.08.04,Rendas a Receber de Adiantamentos Concedidos,14.147,5.202,1.030,,,
26,1.01.08.05,Créditos por Avais e Fianças Honrados,940,0,850,,,
27,1.01.08.06,Rendas a Receber,5.257,5.006,81.287,,,
28,1.01.08.07,Negociação e Intermediação de Valores,8,15.123,0,,,
29,1.01.08.08,Créditos Tributários,363.960,242.144,203.941,,,
30,1.01.08.09,Devedores por Compras de Valores e Bens,10.426,8.266,7.487,,,
31,1.01.08.10,Impostos a Compensar,4.006,4.947,5.050,,,
32,1.01.08.11,Pagamentos a Ressarcir,612,829,7.936,,,
33,1.01.08.12,Títulos e Créditos a Receber,242.333,128.298,140.559,,,
34,1.01.08.13,Valores a Receber de Sociedades Ligadas,894,1.410,3.586,,,
35,1.01.08.14,Adiantamentos e Antecipações Salariais,1.898,1.589,1.853,,,
36,1.01.08.15,Resultado Liq. Negativo Decorrente Renegociação de Operações de Crédito Cedida,0,8.465,11.031,,,
37,1.01.08.16,Devedores Diversos,9.548,6.167,6.123,,,
38,1.01.08.17,Outros,1.209,2.898,1.445,,,
39,1.01.08.18,(Provisão para Outros Créditos de Liquidação Duvidosa),-5.781,-7.144,-2.357,,,
40,1.01.09,Outros Valores e Bens,165.547,142.689,124.649,,,
41,1.01.09.01,Outros Valores e Bens,131.164,89.510,58.816,,,
