,Conta,Descrição,31/12/2018,31/12/2017,31/12/2016,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016
75,1.03.01.02.01,No País,108.367.243,105.355.271,96.926.003,,,
76,1.03.01.02.02,No Exterior,2.770.553,2.299.998,2.168.667,,,
77,1.03.01.03,Participações em Coligadas e Equiparadas,,,,,,
78,1.03.01.04,Outros Investimentos,23.754,67.803,68.304,,,
79,1.03.01.05,Provisão para Perdas,-9.868,-50.081,-50.081,,,
80,1.03.02,Imobilizado de Uso,4.565.834,4.467.165,4.578.415,,,
81,1.03.02.02,Imóveis de Uso,145.470,515.780,669.618,,,
82,1.03.02.03,Outras Imobilizações de Uso,10.195.492,8.968.142,8.364.374,,,
83,1.03.02.04,Depreciações Acumuladas,-5.775.128,-5.016.757,-4.455.577,,,
84,1.03.03,Imobilizado de Arrendamento,1.752,6.769,26.968,,,
85,1.03.03.01,Bens Arrendados,3.239,10.105,51.071,,,
86,1.03.03.02,Depreciações Acumuladas,-1.487,-3.336,-24.103,,,
87,1.03.04,Intangível,6.354.337,4.645.019,4.415.797,,,
88,1.03.04.01,Ativos Intangíveis,14.479.025,12.029.894,12.317.242,,,
89,1.03.04.02,Amortização Acumulada,-8.124.688,-7.384.875,-7.901.445,,,
90,1.03.05,Diferido,,,,,,
91,1.03.05.01,Gastos de Organização e Expansão,,,,,,
92,1.03.05.02,Amortização Acumulada,,,,,,
93,2,Passivo Total,1.112.201.445,1.053.117.128,1.081.616.451,,,
94,2.01,Passivo Circulante,671.458.400,680.153.391,718.065.645,,,
95,2.01.01,Depósitos,228.948.499,189.701.572,189.449.882,,,
96,2.01.01.01,Depósitos à Vista,35.708.082,33.549.874,32.548.413,,,
97,2.01.01.02,Depósitos de Poupança,111.170.912,103.332.697,97.088.828,,,
98,2.01.01.03,Depósitos Interfinanceiros,15.375.571,23.317.885,26.968.249,,,
99,2.01.01.04,Depósitos a Prazo,66.693.934,29.501.116,32.844.392,,,
100,2.01.02,Captações no Mercado Aberto,284.526.440,318.954.150,342.193.210,,,
101,2.01.02.01,Carteira Própria,185.180.861,169.414.655,164.678.836,,,
102,2.01.02.02,Carteira de Terceiros,90.689.260,140.825.872,167.967.767,,,
103,2.01.02.03,Carteira Livre Movimentação,8.656.319,8.713.623,9.546.607,,,
104,2.01.03,Recursos de Aceites e Emissão de Títulos,66.222.525,83.107.043,92.432.728,,,
105,2.01.03.03,"Recursos de Letras Imobiliárias, Hipotecárias, de Crédito e Similares",64.932.016,81.959.214,88.688.899,,,
106,2.01.03.05,Obrigações por Títulos e Valores Mobiliários no Exterior,786.514,970.705,3.331.680,,,
107,2.01.03.06,Certificados de Operações Estruturadas,503.995,177.124,412.149,,,
108,2.01.04,Relações Interfinanceiras,2.211.318,2.125.064,2.024.015,,,
109,2.01.04.03,Recebimentos e Pagamentos a Liquidar,854.610,798.092,786.602,,,
110,2.01.04.04,Correspondentes,1.356.708,1.326.972,1.237.413,,,
111,2.01.05,Relações Interdependências,5.564.451,5.714.923,5.726.950,,,
112,2.01.05.01,Recursos em Trânsito de Terceiros,5.564.451,5.714.923,5.726.950,,,
113,2.01.05.02,Transferências Internas de Recursos,,,,,,
114,2.01.06,Obrigações por Empréstimos,27.505.005,16.974.049,19.217.594,,,
115,2.01.06.03,Empréstimos no Exterior,27.505.005,16.974.049,19.217.594,,,
116,2.01.07,Obrigações por Repasse do País,7.625.553,11.037.386,11.191.120,,,
117,2.01.07.01,Tesouro Nacional,105.725,97.200,166.565,,,
118,2.01.07.03,BNDES,2.419.524,5.039.056,3.800.239,,,
119,2.01.07.05,FINAME,5.100.179,5.900.940,7.224.048,,,
120,2.01.07.06,Outras Instituições,125,190,268,,,
121,2.01.08,Obrigações por Repasse do Exterior,,,,,,
122,2.01.09,Outras Obrigações,48.854.609,52.539.204,55.830.146,,,
123,2.01.09.01,Cobrança e Arrecadação de Tributos e Assemelhados,498.076,981.942,591.205,,,
124,2.01.09.02,Carteira de Câmbio,5.554.384,7.654.619,8.759.475,,,
125,2.01.09.03,Sociais e Estatutárias,4.921.324,4.431.314,4.586.331,,,
126,2.01.09.04,Fiscais e Previdenciárias,1.049.751,818.910,980.303,,,
