,Conta,Descrição,31/12/2017,31/12/2016,31/12/2015,01/01/2017 a 31/12/2017,01/01/2016 a 31/12/2016,01/01/2015 a 31/12/2015
0,1,Ativo Total,54.046.937,46.321.128,41.421.935,,,
1,1.01,Ativo Circulante,22.276.591,20.985.048,21.269.638,,,
2,1.01.01,Disponibilidades,161.518,184.575,209.975,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,12.931.084,9.465.283,12.445.108,,,
4,1.01.02.01,Aplicações no Mercado Aberto,12.787.577,9.314.933,12.444.473,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,143.507,150.350,635,,,
6,1.01.03,Títulos e Valores Mobiliários,2.335.215,4.050.575,253.302,,,
7,1.01.03.01,Carteira Própria,1.458.959,2.907.381,227.797,,,
8,1.01.03.02,Vinculados a Compromisso de Recompra,876.256,855.690,0,,,
9,1.01.03.03,Instrumentos Financeiros Derivativos,,,,,,
10,1.01.03.04,Vinculados à Prestação de Garantias,0,287.504,25.505,,,
11,1.01.04,Relações Interfinanceiras,517.430,221.155,178.168,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,8.155,1.190,1.378,,,
13,1.01.04.02,Depósitos no Banco Central,506.318,218.335,173.609,,,
14,1.01.04.03,Tesouro Nacional Recursos do Crédito Rural,0,0,102,,,
15,1.01.04.04,Repasses Interfinanceiros,0,784,1.885,,,
16,1.01.04.05,Correspondentes,2.957,846,1.194,,,
17,1.01.05,Relações Interdependências,84,0,0,,,
18,1.01.06,Operações de Crédito,4.183.701,4.774.641,5.476.359,,,
19,1.01.06.02,Setor Público,186.731,238.571,243.022,,,
20,1.01.06.03,Setor Privado,4.489.435,5.084.099,5.734.502,,,
21,1.01.06.04,(Provisão para Operações de Crédito de Liquidação Duvidosa),-492.465,-548.029,-501.165,,,
22,1.01.07,Operações de Arrendamento Mercantil,,,,,,
23,1.01.08,Outros Créditos,2.115.657,2.257.019,2.674.731,,,
24,1.01.08.01,Créditos por Avais e Fianças Honrados,0,0,29,,,
25,1.01.08.02,Carteira de Câmbio,885.164,612.278,818.089,,,
26,1.01.08.03,Rendas a Receber,16.480,13.921,13.075,,,
