,Conta,Descrição,31/12/2011,31/12/2010,31/12/2009,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
0,1,Ativo Total,753.336.888,635.081.129,510.422.570,,,
1,1.01,Ativo Circulante,502.028.656,391.178.462,324.048.810,,,
2,1.01.01,Disponibilidades,21.945.774,15.582.999,6.763.430,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,101.679.986,90.791.455,129.440.111,,,
4,1.01.02.01,Aplicações no Mercado Aberto,71.526.347,66.178.702,101.891.689,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,30.154.892,24.614.139,27.549.281,,,
6,1.01.02.05,Provisões para Perdas,-1.253,-1.386,-859,,,
7,1.01.03,Títulos e Valores Mobiliários,184.744.455,112.572.832,76.822.423,,,
8,1.01.03.01,Carteira Própria,23.147.828,14.157.456,12.395.141,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,143.422.949,95.360.960,50.175.458,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,759.391,1.590.733,663.906,,,
11,1.01.03.04,Vinculados ao Banco Central,8.500.046,0,8.682.594,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,1.516.465,1.407.393,3.359.005,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,7.397.776,56.290,1.546.319,,,
14,1.01.04,Relações Interfinanceiras,71.250.080,65.249.267,17.611.506,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,40.613,52.653,50.313,,,
16,1.01.04.02,Depósitos no Banco Central,71.196.603,65.186.282,17.549.776,,,
17,1.01.04.04,Tesouro Nacional - Recursos do Crédito Rural,578,578,578,,,
18,1.01.04.05,SFH - Sistema Financeiro da Habitação,3.238,6.044,4.379,,,
19,1.01.04.07,Correspondentes,9.048,3.710,6.460,,,
20,1.01.05,Relações Interdependências,1.074.981,562.469,238.588,,,
21,1.01.05.02,Transferências Internas de Recursos,1.074.981,562.469,238.588,,,
22,1.01.06,Operações de Crédito,93.295.604,81.656.656,66.692.079,,,
23,1.01.06.01,Setor Público,642.055,640.088,1.154.309,,,
24,1.01.06.02,Setor Privado,101.450.384,88.549.659,73.382.850,,,
25,1.01.06.03,Provisão para Operações de Crédito de Liquidação Duvidosa,-8.796.835,-7.533.091,-7.845.080,,,
26,1.01.07,Operações de Arrendamento Mercantil,-57.463,-167.176,-61.539,,,
27,1.01.07.02,Setor Privado,420.301,625.501,910.377,,,
28,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-394.456,-676.304,-878.847,,,
29,1.01.07.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-83.308,-116.373,-93.069,,,
30,1.01.08,Outros Créditos,27.411.698,24.298.250,25.859.903,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,6.460,5.759,21.092,,,
32,1.01.08.02,Carteira de Câmbio,9.893.051,9.445.491,8.969.213,,,
33,1.01.08.03,Rendas a Receber,4.500.714,4.756.578,4.228.829,,,
34,1.01.08.04,Negociação e Intermediação de Valores,1.713.047,215.315,341.828,,,
35,1.01.08.08,Diversos,11.519.201,10.100.748,12.854.092,,,
36,1.01.08.09,Provisão para Outros Créditos de Liquidação Duvidosa,-220.775,-225.641,-555.151,,,
37,1.01.09,Outros Valores e Bens,683.541,631.710,682.309,,,
38,1.01.09.03,Outros Valores e Bens,313.623,253.470,260.467,,,
39,1.01.09.04,Provisões para Desvalorizações,-93.346,-98.438,-94.319,,,
40,1.01.09.05,Despesas Antecipadas,463.264,476.678,516.161,,,
41,1.02,Ativo Realizável a Longo Prazo,144.862.409,145.043.697,103.452.001,,,
42,1.02.01,Aplicações Interfinanceiras de Liquidez,23.343.939,19.977.717,20.307.381,,,
43,1.02.01.02,Aplicações em Depósitos Interfinanceiros,23.343.939,19.977.717,20.307.381,,,
44,1.02.02,Títulos e Valores Mobiliários,17.645.164,42.423.659,21.194.504,,,
45,1.02.02.01,Carteira Própria,10.188.692,3.428.693,8.828.398,,,
46,1.02.02.02,Vinculados a Compromissos de Recompra,7.139.161,38.911.904,4.701.938,,,
47,1.02.02.03,Instrumentos Financeiros Derivativos,158.101,67.996,736.384,,,
48,1.02.02.04,Vinculados ao Banco Central,0,0,6.089.629,,,
49,1.02.02.05,Moedas de Privatização,7.934,8.315,8.771,,,
50,1.02.02.06,Vinculados à Prestação de Garantias,151.276,6.751,829.384,,,
51,1.02.03,Relações Interfinanceiras,528.685,501.610,485.722,,,
52,1.02.03.05,SFH - Sistema Financeiro da Habitação,528.685,501.610,485.722,,,
53,1.02.04,Relações Interdependências,,,,,,
54,1.02.05,Operações de Crédito,87.940.627,70.912.529,48.811.950,,,
55,1.02.05.01,Setor Público,399.481,319.862,419.880,,,
56,1.02.05.02,Setor Privado,92.748.960,74.892.074,51.820.711,,,
57,1.02.05.03,Provisão para Operações de Crédito de Liquidação Duvidosa,-5.207.814,-4.299.407,-3.428.641,,,
58,1.02.06,Operações de Arrendamento Mercantil,-54.698,-29.751,-130.719,,,
59,1.02.06.02,Setor Privado,267.254,876.453,1.692.480,,,
60,1.02.06.03,Rendas a Apropriar de Arrendamento Mercantil,-277.062,-805.148,-1.704.114,,,
61,1.02.06.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-44.890,-101.056,-119.085,,,
62,1.02.07,Outros Créditos,15.325.214,11.146.433,12.319.449,,,
63,1.02.07.04,Negociação e Intermediação de Valores,218.459,324.547,474.848,,,
64,1.02.07.08,Diversos,15.108.310,10.825.376,11.856.573,,,
65,1.02.07.09,Provisão para Outros Créditos de Liquidação Duvidosa,-1.555,-3.490,-11.972,,,
66,1.02.08,Outros Valores e Bens,133.478,111.500,463.714,,,
67,1.02.08.05,Despesas Antecipadas,133.478,111.500,463.714,,,
68,1.03,Ativo Permanente,106.445.823,98.858.970,82.921.759,,,
69,1.03.01,Investimentos,93.828.731,85.506.909,68.360.809,,,
70,1.03.01.01,Dependências no Exterior,,,,,,
71,1.03.01.02,Participações em Controladas,93.719.147,85.405.913,68.257.508,,,
72,1.03.01.02.01,No País,92.193.393,84.242.693,66.873.274,,,
73,1.03.01.02.02,No Exterior,1.525.754,1.163.220,1.384.234,,,
74,1.03.01.03,Participações em Coligadas e Equiparadas,103.538,94.543,85.663,,,
75,1.03.01.03.01,No País,103.538,94.543,85.663,,,
76,1.03.01.04,Outros Investimentos,37.942,38.359,56.992,,,
77,1.03.01.05,Provisão para Perdas,-31.896,-31.906,-39.354,,,
78,1.03.02,Imobilizado de Uso,2.718.882,2.101.555,1.852.911,,,
79,1.03.02.02,Imóveis de Uso,35.172,0,0,,,
80,1.03.02.03,Outras Imobilizações de Uso,6.025.108,4.967.829,4.265.639,,,
81,1.03.02.04,Depreciações Acumuladas,-3.341.398,-2.866.274,-2.412.728,,,
82,1.03.03,Imobilizado de Arrendamento,5.218.700,8.289.927,10.643.646,,,
83,1.03.03.01,Bens Arrendados,6.521.883,10.097.022,12.888.230,,,
84,1.03.03.02,Depreciações Acumuladas,-1.303.183,-1.807.095,-2.244.584,,,
85,1.03.04,Intangível,4.623.544,2.824.247,1.802.512,,,
