,Conta,Descrição,31/12/2010,31/12/2009,31/12/2008,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009,01/01/2008 a 31/12/2008
0,1,Ativo Total,2.019.475,1.773.464,1.537.896,,,
1,1.01,Ativo Circulante,1.363.002,1.228.190,1.065.398,,,
2,1.01.01,Disponibilidades,79.028,55.662,45.847,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,374.066,329.777,297.695,,,
4,1.01.02.01,Aplicações no mercado Aberto,300.006,259.994,249.993,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,74.060,69.783,47.702,,,
6,1.01.02.03,Aplicações em Moeda Estrangeira,,,,,,
7,1.01.03,Títulos e Valores Mobiliários,229.296,325.981,297.919,,,
8,1.01.03.01,Carteira Própria,223.447,287.059,297.285,,,
9,1.01.03.02,Vinculados a Compra e Recompra,4.051,37.693,0,,,
10,1.01.03.03,Vinculados ao Banco Central,,,,,,
11,1.01.03.04,Instrumentos Financeiros Derivativos,,,,,,
12,1.01.03.05,Vinculados a Prestação de Garantias,1.798,1.229,634,,,
13,1.01.04,Relações Interfinanceiras,153.478,128.106,122.519,,,
14,1.01.04.01,Pagamentos e Recebimentos a Liquidar,19,11,51,,,
15,1.01.04.02,Depósitos no Banco Central,153.407,128.028,121.809,,,
16,1.01.04.03,SFH - Sistema Financeiro de Habitação,10,37,35,,,
17,1.01.04.04,Correspondentes,42,30,624,,,
18,1.01.05,Relações Interdependências,,,,,,
19,1.01.06,Operações de Crédito,468.372,357.155,265.716,,,
20,1.01.06.01,Setor Público,0,574,956,,,
21,1.01.06.02,Setor Privado,487.182,373.916,280.977,,,
22,1.01.06.03,(Provisão para Crédito de Liquidação Duvidosa),-18.810,-17.335,-16.217,,,
23,1.01.07,Operações de Arrendamento Mercantil,,,,,,
24,1.01.08,Outros Créditos,55.908,28.203,32.529,,,
25,1.01.08.01,Carteira de Câmbio,158,165,222,,,
26,1.01.08.02,Rendas a Receber,1.003,827,491,,,
27,1.01.08.03,Negociações e Intermediações de Valores,,,,,,
