,Conta,Descrição,31/12/2011,31/12/2010,31/12/2009,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
0,1,Ativo Total,9.871.604,8.461.956,7.805.744,,,
1,1.01,Ativo Circulante,4.317.310,3.882.908,3.412.530,,,
2,1.01.01,Disponibilidades,41.070,81.071,72.203,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,1.272.762,945.792,889.579,,,
4,1.01.02.01,Aplicações no Mercado Aberto,763.001,399.995,380.110,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,550.210,586.246,568.047,,,
6,1.01.02.03,(Provisões para Perdas),-40.449,-40.449,-58.578,,,
7,1.01.03,Títulos e Valores Mobiliários,1.095.541,1.654.854,1.268.680,,,
8,1.01.03.01,Carteira Própria,659.297,1.475.687,956.897,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,436.244,168.084,302.343,,,
10,1.01.03.03,Vinculados à Prestação de Garantias,0,11.083,9.440,,,
11,1.01.04,Relações Interfinanceiras,284.760,223.310,178.301,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,1.616,1.399,4.542,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Bacen,283.099,221.904,173.749,,,
14,1.01.04.03,Créditos Vinculados - SFH,45,7,10,,,
15,1.01.05,Relações Interdependências,235,584,1.092,,,
16,1.01.06,Operações de Crédito,1.271.165,724.989,748.102,,,
17,1.01.06.01,Operações de Crédito - Setor Público,341.631,20.034,16.217,,,
18,1.01.06.02,Operações de Crédito - Setor Privado,976.688,798.588,807.904,,,
19,1.01.06.03,(Provisões para operações de Crédito),-47.154,-93.633,-76.019,,,
20,1.01.07,Operações de Arrendamento Mercantil,,,,,,
21,1.01.08,Outros Créditos,348.791,249.288,251.575,,,
22,1.01.08.01,Carteira de Cambio,97.332,72.678,155.308,,,
23,1.01.08.02,Rendas a Receber,51.924,57.684,29.296,,,
24,1.01.08.03,Devedores por Compra de Valores e Bens,2.219,1.439,1.027,,,
25,1.01.08.04,Devedores por Depósitos em Garantia,36.763,409,1.075,,,
