,Conta,Descrição,31/12/2012,31/12/2011,31/12/2010,01/01/2012 a 31/12/2012,01/01/2011 a 31/12/2011,01/01/2010 a 31/12/2010
0,1,Ativo Total,844.401.756,753.336.888,635.081.129,,,
1,1.01,Ativo Circulante,522.863.586,502.028.656,391.178.462,,,
2,1.01.01,Disponibilidades,11.436.189,21.945.774,15.582.999,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,187.863.137,101.679.986,90.791.455,,,
4,1.01.02.01,Aplicações no Mercado Aberto,142.546.268,71.526.347,66.178.702,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,45.316.869,30.154.892,24.614.139,,,
6,1.01.02.05,Provisões para Perdas,0,-1.253,-1.386,,,
7,1.01.03,Títulos e Valores Mobiliários,142.859.201,184.744.455,112.572.832,,,
8,1.01.03.01,Carteira Própria,18.096.648,23.147.828,14.157.456,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,107.440.785,143.422.949,95.360.960,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,2.588.751,759.391,1.590.733,,,
11,1.01.03.04,Vinculados ao Banco Central,5.195.610,8.500.046,0,,,
12,1.01.03.06,Vinculados à Prestação de Garantias,9.533.077,1.516.465,1.407.393,,,
13,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,4.330,7.397.776,56.290,,,
14,1.01.04,Relações Interfinanceiras,47.989.496,71.250.080,65.249.267,,,
15,1.01.04.01,Pagamentos e Recebimentos a Liquidar,28.525,40.613,52.653,,,
16,1.01.04.02,Depósitos no Banco Central,47.947.676,71.196.603,65.186.282,,,
17,1.01.04.04,Tesouro Nacional - Recursos do Crédito Rural,578,578,578,,,
18,1.01.04.05,SFH - Sistema Financeiro da Habitação,5.186,3.238,6.044,,,
19,1.01.04.07,Correspondentes,7.531,9.048,3.710,,,
20,1.01.05,Relações Interdependências,1.141.719,1.074.981,562.469,,,
21,1.01.05.02,Transferências Internas de Recursos,1.141.719,1.074.981,562.469,,,
22,1.01.06,Operações de Crédito,102.856.928,93.295.604,81.656.656,,,
23,1.01.06.01,Setor Público,332.345,642.055,640.088,,,
24,1.01.06.02,Setor Privado,111.856.755,101.450.384,88.549.659,,,
25,1.01.06.03,Provisão para Operações de Crédito de Liquidação Duvidosa,-9.332.172,-8.796.835,-7.533.091,,,
26,1.01.07,Operações de Arrendamento Mercantil,-34.454,-57.463,-167.176,,,
27,1.01.07.02,Setor Privado,185.331,420.301,625.501,,,
28,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-168.296,-394.456,-676.304,,,
29,1.01.07.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-51.489,-83.308,-116.373,,,
30,1.01.08,Outros Créditos,28.082.330,27.411.698,24.298.250,,,
31,1.01.08.01,Créditos por Avais e Fianças Honrados,10.013,6.460,5.759,,,
32,1.01.08.02,Carteira de Câmbio,11.556.711,9.893.051,9.445.491,,,
33,1.01.08.03,Rendas a Receber,1.839.680,4.500.714,4.756.578,,,
34,1.01.08.04,Negociação e Intermediação de Valores,3.349.725,1.713.047,215.315,,,
35,1.01.08.08,Diversos,11.546.461,11.519.201,10.100.748,,,
36,1.01.08.09,Provisão para Outros Créditos de Liquidação Duvidosa,-220.260,-220.775,-225.641,,,
37,1.01.09,Outros Valores e Bens,669.040,683.541,631.710,,,
38,1.01.09.03,Outros Valores e Bens,445.040,313.623,253.470,,,
39,1.01.09.04,Provisões para Desvalorizações,-134.927,-93.346,-98.438,,,
40,1.01.09.05,Despesas Antecipadas,358.927,463.264,476.678,,,
41,1.02,Ativo Realizável a Longo Prazo,192.488.122,144.862.409,145.043.697,,,
