,Conta,Descrição,31/12/2019,31/12/2018,31/12/2017,01/01/2019 a 31/12/2019,01/01/2018 a 31/12/2018,01/01/2017 a 31/12/2017
121,2.02.03.03,Recursos de Debêntures,,,,,,
122,2.02.04,Relações Interfinanceiras,,,,,,
123,2.02.05,Relações Interdependências,,,,,,
124,2.02.06,Obrigações por Empréstimos,0,318.718,0,,,
125,2.02.06.01,Empréstimos no País,0,318.718,0,,,
126,2.02.07,Obrigações por Repasse do País,584.822,645.628,526.036,,,
127,2.02.07.01,BNDES,384.988,377.184,139.719,,,
128,2.02.07.02,FINAME,199.834,268.444,386.317,,,
129,2.02.08,Obrigações por Repasse do Exterior,24.640,0,0,,,
130,2.02.09,Outras Obrigações,27.194,26.679,24.939,,,
131,2.02.09.01,Instrumentos Financeiros Derivativos,1,3.393,3,,,
132,2.02.09.02,Carteira de Câmbio,,,,,,
133,2.02.09.03,Fiscais e Previdenciárias,1.182,799,705,,,
134,2.02.09.04,Diversas,26.011,22.487,24.231,,,
135,2.03,Resultados de Exercícios Futuros,8.848,7.333,9.849,,,
136,2.03.01,Resultados de Exercícios Futuros,8.848,7.333,9.849,,,
137,2.05,Patrimônio Líquido,1.488.318,1.443.123,1.405.468,,,
138,2.05.01,Capital Social Realizado,697.200,679.000,653.000,,,
139,2.05.01.01,De Domiciliados no País,646.855,630.003,604.177,,,
140,2.05.01.02,De Domiciliados no Exterior,50.345,48.997,48.823,,,
141,2.05.02,Reservas de Capital,11.987,12.264,13.549,,,
142,2.05.02.01,Reserva de Capital,12.264,12.264,14.167,,,
143,2.05.02.02,Ações em Tesouraria,-277,0,-618,,,
144,2.05.03,Reservas de Reavaliação,,,,,,
145,2.05.03.01,Ativos Próprios,,,,,,
146,2.05.03.02,Controladas/Coligadas e Equiparadas,,,,,,
147,2.05.04,Reservas de Lucro,779.131,749.696,738.658,,,
148,2.05.04.01,Legal,96.274,92.916,90.115,,,
149,2.05.04.02,Estatutária,648.413,622.336,614.099,,,
150,2.05.04.03,Para Contingências,,,,,,
151,2.05.04.04,De Lucros a Realizar,34.444,34.444,34.444,,,
152,2.05.04.05,Retenção de Lucros,,,,,,
153,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,,,
154,2.05.04.07,Outras Reservas de Lucro,,,,,,
155,2.05.04.07.01,Ações em Tesouraria,,,,,,
156,2.05.05,Ajustes de Avaliação Patrimonial,0,2.163,261,,,
157,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,0,2.163,261,,,
158,2.05.05.02,Ajustes Acumulados de Conversão,,,,,,
159,2.05.05.03,Ajustes de Combinação de Negócios,,,,,,
160,2.05.06,Lucros/Prejuízos Acumulados,,,,,,
161,3.01,Receitas da Intermediação Financeira,,,,814.535,789.2410000000001,982.056
162,3.01.01,Operações de Crédito,,,,225.239,211.188,275.73400000000004
163,3.01.02,Resultado com Títulos e Valores Mobiliários,,,,596.005,534.52,717.643
164,3.01.03,Resultado com Instrumentos Financeiros Derivativos,,,,-16.667,8.796,-27.480999999999998
165,3.01.04,Resultado de Operações de Câmbio,,,,9.958,34.736999999999995,16.16
166,3.01.05,Operações de Venda ou de Transferência de Ativos Financeiros,,,,,,
167,3.02,Despesas da Intermediação Financeira,,,,-714.0930000000001,-757.057,-891.785
168,3.02.01,Operações de Captação no Mercado,,,,-623.809,-604.332,-766.99
169,3.02.02,Operações de Empréstimos e Repasses,,,,-101.289,-126.29799999999999,-136.041
170,3.02.03,Operações de Venda ou de Transferência de Ativos Financeiros,,,,0.0,0.0,-726.0
171,3.02.04,Provisão para Créditos de Liquidação Duvidosa,,,,11.005,-26.427,11.972000000000001
172,3.02.05,Resultado de Operações de Câmbio,,,,,,
173,3.03,Resultado Bruto Intermediação Financeira,,,,100.44200000000001,32.184,90.271
174,3.04,Outras Despesas/Receitas Operacionais,,,,-12.808,29.209,-42.77
175,3.04.01,Receitas de Prestação de Serviços,,,,43.84,47.583999999999996,38.315
176,3.04.02,Despesas de Pessoal,,,,-71.96,-64.045,-58.666000000000004
177,3.04.03,Outras Despesas Administrativas,,,,-37.345,-36.409,-37.427
178,3.04.04,Despesas Tributárias,,,,-10.402999999999999,-8.193999999999999,-8.135
179,3.04.05,Outras Receitas Operacionais,,,,72.67,64.09899999999999,47.935
180,3.04.06,Outras Despesas Operacionais,,,,-28.693,-9.676,-48.885
181,3.04.07,Resultado da Equivalência Patrimonial,,,,19.083,35.85,24.093000000000004
182,3.05,Resultado Operacional,,,,87.634,61.393,47.501000000000005
183,3.06,Resultado Não Operacional,,,,2.605,352.0,79.0
184,3.06.01,Receitas,,,,3.3089999999999997,381.0,99.0
185,3.06.02,Despesas,,,,-704.0,-29.0,-20.0
186,3.07,Resultado Antes Tributação/Participações,,,,90.23899999999999,61.745,47.58
187,3.08,Provisão para IR e Contribuição Social,,,,-19.141,-1.771,29.478
188,3.08.01,Provisão para Imposto de Renda,,,,-7.141,-1.67,3.193
189,3.08.02,Provisão para Contribuição Social,,,,-4.9239999999999995,-1.567,1.182
190,3.08.03,Ativo Fiscal Diferido,,,,-7.0760000000000005,1.466,25.103
191,3.09,IR Diferido,,,,,,
192,3.10,Participações/Contribuições Estatutárias,,,,-3.946,-3.938,-3.5069999999999997
193,3.10.01,Participações,,,,-3.946,-3.938,-3.5069999999999997
194,3.10.01.01,Empregados,,,,-3.946,-3.938,-3.5069999999999997
195,3.10.01.02,Administradores - Estatutárias,,,,,,
196,3.10.02,Contribuições,,,,,,
197,3.11,Reversão dos Juros sobre Capital Próprio,,,,,,
198,3.13,Lucro/Prejuízo do Período,,,,67.152,56.036,73.551
199,3.99,Lucro por Ação - (R$ / Ação),,,,75829.0,63246.0,82810.0
