,Conta,Descrição,31/12/2015,31/12/2014,31/12/2013,01/01/2015 a 31/12/2015,01/01/2014 a 31/12/2014,01/01/2013 a 31/12/2013
0,1,Ativo Total,947.122.904,978.703.169,882.083.756,,,
1,1.01,Ativo Circulante,484.056.265,601.147.548,520.738.924,,,
2,1.01.01,Disponibilidades,16.899.827,14.126.024,11.383.189,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,187.944.127,267.845.724,192.538.427,,,
4,1.01.02.01,Aplicações no Mercado Aberto,130.148.959,214.653.101,143.387.918,,,
5,1.01.02.02,Aplicações em Depósitos Interfinanceiros,57.830.003,53.221.013,49.186.111,,,
6,1.01.02.05,Provisões para Perdas,-34.835,-28.390,-35.602,,,
7,1.01.03,Títulos e Valores Mobiliários,75.402.316,123.058.123,115.254.631,,,
8,1.01.03.01,Carteira Própria,16.886.041,20.178.489,14.292.262,,,
9,1.01.03.02,Vinculados a Compromissos de Recompra,36.779.746,96.867.711,98.219.128,,,
10,1.01.03.03,Instrumentos Financeiros Derivativos,13.181.624,2.755.196,1.750.754,,,
11,1.01.03.06,Vinculados à Prestação de Garantias,4.015.263,3.256.727,992.487,,,
12,1.01.03.07,Títulos Objeto de Operações Compromissadas com Livre Movimentação,4.539.642,0,0,,,
13,1.01.04,Relações Interfinanceiras,53.844.021,50.203.216,55.021.188,,,
14,1.01.04.01,Pagamentos e Recebimentos a Liquidar,73.764,84.000,45.224,,,
15,1.01.04.02,Depósitos no Banco Central,53.764.148,50.109.352,54.959.987,,,
16,1.01.04.05,SFH - Sistema Financeiro da Habitação,5.357,4.981,3.306,,,
17,1.01.04.07,Correspondentes,752,4.883,12.671,,,
18,1.01.05,Relações Interdependências,248.477,394.522,880.498,,,
19,1.01.05.02,Transferências Internas de Recursos,248.477,394.522,880.498,,,
20,1.01.06,Operações de Crédito,110.326.747,113.984.038,111.506.530,,,
21,1.01.06.01,Setor Público,1.770.286,1.063.399,44.870,,,
22,1.01.06.02,Setor Privado,123.074.016,124.007.478,121.398.365,,,
23,1.01.06.03,Operações de Crédito Vinculadas a Cessão,120.130,41.982,0,,,
24,1.01.06.04,Provisão para Operações de Crédito de Liquidação Duvidosa,-14.637.685,-11.128.821,-9.936.705,,,
25,1.01.07,Operações de Arrendamento Mercantil,-483,-1.437,-6.688,,,
26,1.01.07.02,Setor Privado,713,2.289,30.129,,,
27,1.01.07.03,Rendas a Apropriar de Arrendamento Mercantil,-713,-2.289,-25.501,,,
28,1.01.07.04,Provisão para Créditos de Arrendamento Mercantil de Liquidação Duvidosa,-483,-1.437,-11.316,,,
