,Conta,Descrição,31/12/2010,31/12/2009,31/12/2008,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009,01/01/2008 a 31/12/2008
0,1,Ativo Total,9.405.724,8.866.025,8.456.291,,,
1,1.01,Ativo Circulante,5.954.407,5.439.900,5.418.094,,,
2,1.01.01,Disponibilidades,120.481,112.286,175.816,,,
3,1.01.02,Aplicações Interfinanceiras de Liquidez,3.010.264,2.801.415,2.850.340,,,
4,1.01.02.01,Aplicações no Mercado Aberto,2.992.866,2.770.793,2.780.413,,,
5,1.01.02.02,Aplicações em Depósitos Financeiros,17.398,30.622,69.927,,,
6,1.01.03,Títulos e Valores Mobiliários,534.735,335.884,295.860,,,
7,1.01.03.01,Carteira Própria,434.957,305.024,267.005,,,
8,1.01.03.02,Vinculados a Compromisso de Recompra,97.823,30.605,28.380,,,
9,1.01.03.03,Vinculados a Prestação de Garantia,1.529,8,0,,,
10,1.01.03.04,Instrumentos Financeiros Derivativos,426,247,475,,,
11,1.01.04,Relações Interfinanceiras,479.242,391.033,376.321,,,
12,1.01.04.01,Pagamentos e Recebimentos a Liquidar,372,298,90,,,
13,1.01.04.02,Créditos Vinculados - Depósitos no Banco Central do Brasil,475.385,387.150,373.881,,,
14,1.01.04.03,Correspondentes,3.485,3.585,2.350,,,
15,1.01.05,Relações Interdependências,0,1,88,,,
16,1.01.05.01,Recursos em Trânsito de Terceiros,0,1,3,,,
17,1.01.05.02,Transferências Internas de Recursos,0,0,85,,,
18,1.01.06,Operações de Crédito,1.425.484,1.334.397,1.255.667,,,
19,1.01.06.01,Operações de Crédito - Setor Privado,1.543.425,1.494.141,1.321.011,,,
20,1.01.06.02,(Provisão para Perdas de Operações de Crédito),-117.941,-159.744,-65.344,,,
21,1.01.07,Operações de Arrendamento Mercantil,5.879,13.264,13.947,,,
22,1.01.07.01,Operações de Arrendamentos a Receber - Setor Privado,9.702,16.986,16.300,,,
23,1.01.07.02,(Provisão para Perdas de Arrendamento Mercantil),-3.823,-3.722,-2.353,,,
24,1.01.08,Outros Créditos,355.368,434.032,433.978,,,
25,1.01.08.01,Carteira de Câmbio,196.550,225.226,324.811,,,
26,1.01.08.02,Rendas a Receber,63.098,58.935,43.397,,,
27,1.01.08.03,Diversos,121.782,179.118,74.021,,,
28,1.01.08.04,(Provisão para Perdas em Outros Créditos),-26.062,-29.247,-8.251,,,
29,1.01.09,Outros Valores e Bens,22.954,17.588,16.077,,,
30,1.01.09.01,Outros Valores e Bens,20.001,14.621,13.623,,,
31,1.01.09.02,(Provisão para Desvalorização),-143,-103,-57,,,
32,1.01.09.03,Despesas Antecipadas,3.096,3.070,2.511,,,
33,1.02,Ativo Realizável a Longo Prazo,3.293.574,3.281.352,2.912.121,,,
34,1.02.01,Aplicações Interfinanceiras de Liquidez,,,,,,
35,1.02.01.01,Aplicações em Depósitos Interfinanceiros,,,,,,
36,1.02.02,Títulos e Valores Mobiliários,1.156.215,1.313.587,1.343.831,,,
37,1.02.02.01,Carteira Própria,658.334,574.483,699.804,,,
38,1.02.02.02,Vinculados a Compromisso de Recompra,469.270,684.004,581.308,,,
39,1.02.02.03,Vinculados a Prestação de Garantia,28.611,55.100,62.702,,,
40,1.02.02.04,Instrumentos Financeiros Derivativos,0,0,17,,,
41,1.02.03,Relações Interfinanceiras,144.608,143.734,125.809,,,
42,1.02.03.01,Créditos Vinculados - Depósitos no Banco Central do Brasil,0,9.400,9.126,,,
43,1.02.03.02,Créditos Vinculados - Sistema Financeiro Habitacional,144.608,134.334,116.683,,,
44,1.02.04,Relações Interdependências,,,,,,
